"item","difficulty_mean","difficulty_SD","difficulty_Rhat","discrimination_mean","discrimination_SD","discrimination_Rhat"
"1",-0.107635072694802,0.32561889999096,NA,1.47096994317633,0.490733693645407,NA
"2",0.160732214000468,0.10868488771947,NA,0.95390867312149,0.0420269728526213,NA
"3",-0.193739761712315,0.436935199476653,NA,0.0678907639143516,0,NA
"4",-1.05027248573842,0.45209245917322,NA,1.43259304712856,0.805905340270475,NA
"5",-1.55293200965656,0,NA,1.68811103486994,0.524322843557272,NA
"6",0.392221610105893,0.067413361120163,NA,0.905836100717213,0.531019208215916,NA
"7",-0.128938998655907,0.471713734568806,NA,0.290954792235733,0.15901308126651,NA
"8a",0.553414638663576,0.0677115116161615,NA,0.530238709122101,0,NA
"8b",1.06438174541908,0.0895651871389439,NA,1.61252538317467,0.583519964939185,NA
"8c",-0.70324832245858,0.447684139299705,NA,0.949297536455122,0.304859929242735,NA
"8d",-0.62442936274747,0.76313826209993,NA,1.12965058835891,0.60926438777456,NA
"9",0.0324742089936609,0.337835489511495,NA,1.71121751578564,0.407708265584531,NA
"10a",-2.18642094775414,0.69291582473682,NA,2.3735064580699,0.33935551910596,NA
"10b",0.532238855442604,0.200321391375971,NA,0.714167871118272,0.334582183665323,NA
"10c",-0.258301077634153,0.0492036152215131,NA,0.514380394852404,0.178465164965245,NA
"11",-0.466515946265553,0.622185268232546,NA,0.566531555978529,0.196118588462264,NA
"12",0.482585088761173,0.424270689994231,NA,1.65005104487935,0.812969894925121,NA
"13",2.02782347781144,0.661245767649358,NA,2.10525670383825,0.733838819999898,NA
"14",-0.151564679437942,0.31565359694096,NA,0.928756079735463,0.592208179648194,NA
"15a",-1.34497623567246,0.306527461598301,NA,1.76325344824689,0.538144380016026,NA
"15b",-0.436722416646337,0.602365128680254,NA,0.29289734914122,0.153611035999453,NA
"15c",1.18046812087435,0.112770222050298,NA,0.715875278598852,0.513915791816512,NA
"16",0.261118272066105,0.195738032054938,NA,0.758809573199093,0.461930131606299,NA
"17",-0.388404477345506,0.812427693963499,NA,0.446991449643908,0.260297522550675,NA
"18",-0.218540880849555,0.43148356181701,NA,1.56125512143226,0.804868704649473,NA
"21",-0.2191416034978,0.25239548362315,NA,1.20147111496175,0.895073762134798,NA
"22",0.371265899846646,0.553324691864221,NA,0.268455853029335,0,NA
