"Raw_Param","Readable_Name","Type","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"attributenodes[1, 1]","S1 - appropriateness","Student Mastery",0.25,0.5,0,0,0.925,NA,4
"attributenodes[2, 1]","S2 - appropriateness","Student Mastery",0.25,0.5,0,0,0.925,NA,4
"attributenodes[3, 1]","S3 - appropriateness","Student Mastery",0.5,0.577350269189626,0,0.5,1,NA,19
"attributenodes[4, 1]","S4 - appropriateness","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[5, 1]","S5 - appropriateness","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[6, 1]","S6 - appropriateness","Student Mastery",0.5,0.577350269189626,0,0.5,1,NA,4
"attributenodes[7, 1]","S7 - appropriateness","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[8, 1]","S8 - appropriateness","Student Mastery",0.75,0.5,0.075,1,1,NA,4
"attributenodes[9, 1]","S9 - appropriateness","Student Mastery",0.75,0.5,0.075,1,1,NA,4
"attributenodes[10, 1]","S10 - appropriateness","Student Mastery",0.25,0.5,0,0,0.925,NA,4
"attributenodes[1, 2]","S1 - partitioning_iterating","Student Mastery",0.5,0.577350269189626,0,0.5,1,NA,4
"attributenodes[2, 2]","S2 - partitioning_iterating","Student Mastery",0.75,0.5,0.075,1,1,NA,4
"attributenodes[3, 2]","S3 - partitioning_iterating","Student Mastery",0.5,0.577350269189626,0,0.5,1,NA,4
"attributenodes[4, 2]","S4 - partitioning_iterating","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[5, 2]","S5 - partitioning_iterating","Student Mastery",0.75,0.5,0.075,1,1,NA,4
"attributenodes[6, 2]","S6 - partitioning_iterating","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[7, 2]","S7 - partitioning_iterating","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[8, 2]","S8 - partitioning_iterating","Student Mastery",0.75,0.5,0.075,1,1,NA,4
"attributenodes[9, 2]","S9 - partitioning_iterating","Student Mastery",0.75,0.5,0.075,1,1,NA,4
"attributenodes[10, 2]","S10 - partitioning_iterating","Student Mastery",0.75,0.5,0.075,1,1,NA,4
"attributenodes[1, 3]","S1 - multiplicative_comparison","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[2, 3]","S2 - multiplicative_comparison","Student Mastery",0.5,0.577350269189626,0,0.5,1,NA,19
"attributenodes[3, 3]","S3 - multiplicative_comparison","Student Mastery",0.25,0.5,0,0,0.925,NA,4
"attributenodes[4, 3]","S4 - multiplicative_comparison","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[5, 3]","S5 - multiplicative_comparison","Student Mastery",0.75,0.5,0.075,1,1,NA,4
"attributenodes[6, 3]","S6 - multiplicative_comparison","Student Mastery",0.75,0.5,0.075,1,1,NA,4
"attributenodes[7, 3]","S7 - multiplicative_comparison","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[8, 3]","S8 - multiplicative_comparison","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[9, 3]","S9 - multiplicative_comparison","Student Mastery",0.25,0.5,0,0,0.925,NA,4
"attributenodes[10, 3]","S10 - multiplicative_comparison","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[1, 4]","S1 - referent_units","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[2, 4]","S2 - referent_units","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[3, 4]","S3 - referent_units","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[4, 4]","S4 - referent_units","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[5, 4]","S5 - referent_units","Student Mastery",0,0,0,0,0,NA,0
"attributenodes[6, 4]","S6 - referent_units","Student Mastery",0.75,0.5,0.075,1,1,NA,4
"attributenodes[7, 4]","S7 - referent_units","Student Mastery",0.25,0.5,0,0,0.925,NA,4
"attributenodes[8, 4]","S8 - referent_units","Student Mastery",0.25,0.5,0,0,0.925,NA,4
"attributenodes[9, 4]","S9 - referent_units","Student Mastery",0.25,0.5,0,0,0.925,NA,4
"attributenodes[10, 4]","S10 - referent_units","Student Mastery",0,0,0,0,0,NA,0
"beta_root[1]","appropriateness - Prior/Intercept","Root Structure",0.776302830301655,0.0440326711163821,0.738169418518383,0.776302830301655,0.814436242084927,NA,4
"lambda[1, 1]","1 - Slope","Item Parameter",1.47096994317633,0.490733693645407,0.82419905489018,1.62177742192033,1.86136811759769,NA,4
"lambda[2, 1]","2 - Slope","Item Parameter",0.95390867312149,0.0420269728526213,0.917512246986961,0.95390867312149,0.990305099256019,NA,4
"lambda[3, 1]","3 - Slope","Item Parameter",0.0678907639143516,0,0.0678907639143516,0.0678907639143516,0.0678907639143516,NA,0
"lambda[4, 1]","4 - Slope","Item Parameter",1.43259304712856,0.805905340270475,0.362186171705832,1.69828413306728,2.05132507645547,NA,4
"lambda[5, 1]","5 - Slope","Item Parameter",1.68811103486994,0.524322843557272,1.2543449788544,1.59315619861682,2.28330031251577,NA,4
"lambda[6, 1]","6 - Slope","Item Parameter",0.905836100717213,0.531019208215916,0.188960169625726,1.17134570482517,1.17134570482517,NA,4
"lambda[7, 1]","7 - Slope","Item Parameter",0.290954792235733,0.15901308126651,0.0762871325259447,0.370461332868988,0.370461332868988,NA,4
"lambda[8, 1]","8a - Slope","Item Parameter",0.530238709122101,0,0.530238709122101,0.530238709122101,0.530238709122101,NA,0
"lambda[9, 1]","8b - Slope","Item Parameter",1.61252538317467,0.583519964939185,1.13556432897515,1.49445799798964,2.29020099218872,NA,4
"lambda[10, 1]","8c - Slope","Item Parameter",0.949297536455122,0.304859929242735,0.786858476641068,0.802127168870236,1.36192622116348,NA,4
"lambda[11, 1]","8d - Slope","Item Parameter",1.12965058835891,0.60926438777456,0.549700176147276,1.16155953588735,1.6553557897722,NA,4
"lambda[12, 1]","9 - Slope","Item Parameter",1.71121751578564,0.407708265584531,1.35813180045654,1.71121751578564,2.06430323111474,NA,4
"lambda[13, 1]","10a - Slope","Item Parameter",2.3735064580699,0.33935551910596,2.0920014469205,2.31381326348906,2.75648990000672,NA,4
"lambda[14, 1]","10b - Slope","Item Parameter",0.714167871118272,0.334582183665323,0.396166249353252,0.652821183477461,1.13645886187267,NA,4
"lambda[15, 1]","10c - Slope","Item Parameter",0.514380394852404,0.178465164965245,0.273452422149323,0.603612977335027,0.603612977335027,NA,4
"lambda[16, 1]","11 - Slope","Item Parameter",0.566531555978529,0.196118588462264,0.379324039289449,0.577135798052051,0.735711861142621,NA,4
"lambda[17, 1]","12 - Slope","Item Parameter",1.65005104487935,0.812969894925121,0.837972118171872,1.66288203604686,2.44031728660205,NA,4
"lambda[18, 1]","13 - Slope","Item Parameter",2.10525670383825,0.733838819999898,1.43509592066098,1.94446619878154,3.04876134561194,NA,4
"lambda[19, 1]","14 - Slope","Item Parameter",0.928756079735463,0.592208179648194,0.155072279080596,1.12971291886999,1.36081325386164,NA,4
"lambda[20, 1]","15a - Slope","Item Parameter",1.76325344824689,0.538144380016026,1.03651049402788,1.99437388499908,2.09709165998717,NA,4
"lambda[21, 1]","15b - Slope","Item Parameter",0.29289734914122,0.153611035999453,0.0943983538155465,0.343918669069308,0.404660100589144,NA,4
"lambda[22, 1]","15c - Slope","Item Parameter",0.715875278598852,0.513915791816512,0.270904864427087,0.645647918197544,1.28023220545284,NA,4
"lambda[23, 1]","16 - Slope","Item Parameter",0.758809573199093,0.461930131606299,0.300425640353586,0.708412400339309,1.30286869990623,NA,4
