"","Parent_Attr_1","Parent_Attr_2","Parent_Attr_3","Parent_Attr_4"
"Attribute_1",0,0,0,0
"Attribute_2",1,0,0,0
"Attribute_3",1,0,0,0
"Attribute_4",0,1,1,0
"Task_1",1,0,0,1
"Task_2",0.1105,0.9985,0.147,0.823
"Task_3",0,0,1,0
"Task_4",0.9995,0.2,0.1635,0.1855
"Task_5",1,0,0.058,1
"Task_6",0.0695,0.0025,1,0.1765
"Task_7",1,0.012,0.004,0.7645
"Task_8",0.625,1,0.578,0.959
"Task_9",0.6625,1,0.086,0.8605
"Task_10",0.167,0.8675,0.0635,0.865
"Task_11",0.8875,1,0.013,0.542
"Task_12",0.9885,0.1525,0.0315,0.5185
"Task_13",1,1,0,0
"Task_14",1,1,0,0
"Task_15",1,1,0,0
"Task_16",1,5e-04,0.002,1
"Task_17",1,5e-04,0,1
"Task_18",0.7795,0.634,0.999,0.343
"Task_19",0.997,0.0465,0.4145,0.489
"Task_20",0,0,1,0
"Task_21",0,0,1,0
"Task_22",0,0,1,0
"Task_23",1,0,0,1
"Task_24",1,0,1,0
"Task_25",1,0,1,1
"Task_26",1,0,0,1
"Task_27",1,0,1,1
