name,type,compute,details
skill1,attribute,pattern,
skill2,attribute,pattern,
skill3,attribute,pattern,
E1,task,DINA,
E2,task,DINA,
E3,task,DINA,
E4,task,DINA,
E5,task,DINA,
E6,task,DINA,
E7,task,DINA,
E8,task,DINA,
E9,task,DINA,
E10,task,DINA,
E11,task,DINA,
E12,task,DINA,
E13,task,DINA,
E14,task,DINA,
E15,task,DINA,
E16,task,DINA,
E17,task,DINA,
E18,task,DINA,
E19,task,DINA,
E20,task,DINA,
E21,task,DINA,
E22,task,DINA,
E23,task,DINA,
E24,task,DINA,
E25,task,DINA,
E26,task,DINA,
E27,task,DINA,
E28,task,DINA,
