"","Standard_1","Standard_2","Standard_3","Standard_4","Standard_5","DoK_1","DoK_2","DoK_3"
"Item_1",1,0,0,0,0,1,0,0
"Item_2",1,0,0,0,0,1,0,0
"Item_3",1,0,0,0,0,0,1,0
"Item_4",1,0,0,0,0,0,1,0
"Item_5",1,0,0,0,0,0,0,1
"Item_6",1,0,0,0,0,0,0,1
"Item_7",0,1,0,0,0,1,0,0
"Item_8",0,1,0,0,0,1,0,0
"Item_9",0,1,0,0,0,0,1,0
"Item_10",0,1,0,0,0,0,1,0
"Item_11",0,1,0,0,0,0,0,1
"Item_12",0,1,0,0,0,0,0,1
"Item_13",0,0,1,0,0,1,0,0
"Item_14",0,0,1,0,0,1,0,0
"Item_15",0,0,1,0,0,0,1,0
"Item_16",0,0,1,0,0,0,1,0
"Item_17",0,0,1,0,0,0,0,1
"Item_18",0,0,1,0,0,0,0,1
"Item_19",0,0,0,1,0,1,0,0
"Item_20",0,0,0,1,0,1,0,0
"Item_21",0,0,0,1,0,0,1,0
"Item_22",0,0,0,1,0,0,1,0
"Item_23",0,0,0,1,0,0,0,1
"Item_24",0,0,0,1,0,0,0,1
"Item_25",0,0,0,0,1,1,0,0
"Item_26",0,0,0,0,1,1,0,0
"Item_27",0,0,0,0,1,0,1,0
"Item_28",0,0,0,0,1,0,1,0
"Item_29",0,0,0,0,1,0,0,1
"Item_30",0,0,0,0,1,0,0,1
