"","APP","PI","MC","RU"
"809",0.999875,0.9965,0.986125,0.963125
"994",0.958875,0.520125,0.94125,0.00487499999999991
"2427",0.92325,0.0996249999999995,0.948875,0.00375000000000001
"3128",0.9975,0.99875,0.98325,0.92475
"6198",0.419375,0.0814999999999999,0.0496249999999998,0.000124999999999996
"8702",0.99575,0.841625,0.826,0.115875
"9276",0.9975,0.9915,0.982125,0.790124999999999
"9767",0.0384999999999997,0.00937499999999994,0.10175,0.000125000000000008
"11173",0.836499999999999,0.918499999999999,0.308875,0.0206250000000001
"12199",0.995375,0.92675,0.984875,0.00412499999999997
"12527",0,0.00237500000000006,0.578624999999999,0.000624999999999991
"17737",0.00112499999999999,0.0115000000000001,0.1255,0.00662500000000017
"18938",0.0538750000000001,0.0364999999999999,0.000749999999999999,0.000124999999999998
"21112",0.99975,0.997,0.998875,0.991375
"22902",0.999,0.997,0.994875,0.994375
"23192",0.65175,0.780874999999999,0.970875,0.988
"23325",0.999125,0.978,0.999,0.9985
"23489",0.99925,0.576875,0.98875,0.0689999999999999
"23698",0.987875,0.98325,0.983375,0.441625000000001
"25828",0.999875,0.996125,0.99,0.95025
"26989",0.0138750000000001,0.02925,0.87325,0.000749999999999991
"27008",0.00425000000000005,0.00487499999999993,0.00112499999999996,0.00599999999999997
"27278",0.0315000000000002,0.0368749999999998,0.920125,0.0200000000000001
"28196",1,0.999,0.994125,0.995125
"29425",0.99925,0.937875,0.99475,0.860125
"29751",0.000374999999999988,0.00387500000000001,0.00512500000000001,0
"29809",0.9975,0.994875,0.995125,0.925125
"30289",0.20825,0.0224999999999998,0.535000000000001,0.00025000000000001
"30380",1,0.967,0.994125,0.57525
"30616",0.01075,0.0432499999999997,0.00224999999999994,0.000374999999999994
"32129",0.00325000000000002,0.00324999999999994,0.000875000000000021,0.00487499999999995
"32712",0.977,0.93725,0.985,0.92575
"35362",0.00375000000000001,0.0400000000000001,0.000874999999999931,0.00625000000000001
"36116",0.000624999999999982,0.00662500000000017,0.92625,0.00487499999999989
"36470",0.000624999999999961,0.00287500000000003,0.000124999999999987,0.0106249999999999
"37048",0.134125,0.19675,0.365249999999999,0.0104999999999997
"37300",0.00700000000000004,0.00237500000000005,0.591625,0.0165
"37487",0.0681249999999999,0.287499999999999,0.0219999999999999,0.436375000000001
"37597",0.860875,0.750125000000001,0.968625,0.2975
"37908",0.961375,0.402874999999999,0.988,0.0123750000000001
"38381",0.00100000000000005,0.00487499999999998,0.00550000000000002,0.00237500000000006
"39517",0.00100000000000005,0.004,0.0890000000000002,0.00037499999999999
"39726",0.997375,0.9975,0.992375,0.99875
"39913",0.00275000000000001,0.00337500000000002,0.048875,0.002875
"42281",0.0217499999999998,0.122625,0.234750000000001,0.0211250000000003
"42834",0.386125,0.284875,0.00600000000000001,0.147625
"42948",0.00200000000000001,0.044,0.0102500000000001,0.000625000000000007
"42995",0.0556250000000002,0.0243750000000001,0.467000000000001,0.00787499999999994
