"name","type","compute","details"
"APP","attribute","dinm",NA
"PI","attribute","dinm",NA
"MC","attribute","dinm",NA
"RU","attribute","dinm",NA
"1","task","dinm",NA
"2","task","dinm",NA
"3","task","dinm",NA
"4","task","dinm",NA
"5","task","dinm",NA
"6","task","dinm",NA
"7","task","dinm",NA
"8a","task","dinm",NA
"8b","task","dinm",NA
"8c","task","dinm",NA
"8d","task","dinm",NA
"9","task","dinm",NA
"10a","task","dinm",NA
"10b","task","dinm",NA
"10c","task","dinm",NA
"11","task","dinm",NA
"12","task","dinm",NA
"13","task","dinm",NA
"14","task","dinm",NA
"15a","task","dinm",NA
"15b","task","dinm",NA
"15c","task","dinm",NA
"16","task","dinm",NA
"17","task","dinm",NA
"18","task","dinm",NA
"21","task","dinm",NA
"22","task","dinm",NA
