"item","difficulty_mean","difficulty_SD","difficulty_Rhat","discrimination_mean","discrimination_SD","discrimination_Rhat"
"1",1.41356143218835,0.149698511322028,1.01,1.73483766595821,0.196176992347759,1
"2",-0.585532789948518,0.131718520986589,1,1.34342313939643,0.210181242324089,1
"3",2.86061719477685,0.284141115273457,1.01,2.46052337060808,0.311366404129547,1.01
"4",1.58530451953259,0.149072084215913,1.02,0.944125840970032,0.191493280122082,1.02
"5",2.13335623732234,0.196681392878546,1.02,1.74556226194406,0.23389727313335,1.01
"6",3.99002921532445,0.393673870518678,1.01,1.92236280466901,0.428697172998721,1.01
"7",1.02283385130322,0.125458535833771,1,0.981973820273218,0.171147464702848,1.01
"8a",0.462800943248533,0.217122304393375,1,4.33751013240903,0.801886435526977,1.01
"8b",0.283140353897333,0.155837173885193,1,2.22477265618179,0.257240763725563,1.01
"8c",-0.124882771184067,0.12536096199947,1.02,0.957129877136533,0.178498220282689,1.01
"8d",0.967471093322239,0.171161647604243,1.02,1.60153261457025,0.202367959829272,1.02
"9",1.3001424504657,0.130906283924741,1,0.594252444256178,0.176531017230785,1
"10a",1.77964831437736,0.426158057404871,1.09,5.35819378423038,0.630919343337177,1.04
"10b",1.67155524278709,0.160525944599888,1.04,3.28085781607577,0.227312583104641,1.01
"10c",2.32575055317352,0.195978015129419,1,3.00449380643853,0.226374241151102,1
"11",1.31866821272344,0.144431026240074,1.01,1.28303270062378,0.187318417659994,1.01
"12",1.41076348430359,0.144263684888851,1,1.33075967850407,0.187754294495227,1.01
"13",0.585966568274163,0.094573799509325,1,0.886472748111525,0.15300474925439,1.01
"14",2.10160611427359,0.132879919091037,1.03,1.18722748774485,0.194311987917484,1.04
"15a",1.47395342964196,0.129664552606157,1,2.63329748426446,0.197524971743195,1
"15b",0.771616913424257,0.126678916879246,1,3.09300506766952,0.250432580106969,1
"15c",0.614067502717811,0.121158932309424,1.01,2.78488036869361,0.235504326359498,1
"16",1.29612774294272,0.13843616490735,1,1.54103873698281,0.181137710753741,1
"17",2.00230798655916,0.137291731548602,1,2.3412926314085,0.191510496980117,1
"18",0.61277879610258,0.0913302125486354,1,2.12325608346546,0.203388948160762,1
"21",1.82947782593969,0.165697051382481,1.01,1.54074265040935,0.203802207955326,1.01
"22",0.76886797216706,0.0938235631784163,1,2.15347053699456,0.187043033990587,1
