"Raw_Param","Readable_Name","Type","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"attributenodes[1, 1]","000809 - referent_units","Student Mastery",0.999944444444444,0.00745355992500019,1,1,1,NA,9000
"attributenodes[2, 1]","000994 - referent_units","Student Mastery",0.0262777777777775,0.159964614105928,0,0,1,1,18000
"attributenodes[3, 1]","002427 - referent_units","Student Mastery",0.00933333333333313,0.0961599497180231,0,0,0,1,16464
"attributenodes[4, 1]","003128 - referent_units","Student Mastery",0.999944444444444,0.00745355992500036,1,1,1,NA,9000
"attributenodes[5, 1]","006198 - referent_units","Student Mastery",5.55555555555623e-05,0.00745355992500059,0,0,0,1.29,9000
"attributenodes[6, 1]","008702 - referent_units","Student Mastery",0.532833333333334,0.498934667054706,0,1,1,1,8175
"attributenodes[7, 1]","009276 - referent_units","Student Mastery",0.999888888888889,0.0105406327100724,1,1,1,1.29,9000
"attributenodes[8, 1]","009767 - referent_units","Student Mastery",0.00444444444444455,0.066520201351684,0,0,0,1.02,17054
"attributenodes[9, 1]","011173 - referent_units","Student Mastery",0.699944444444443,0.458294542499795,0,1,1,1,10265
"attributenodes[10, 1]","012199 - referent_units","Student Mastery",0.150944444444446,0.358004664136593,0,0,1,1,10869
"attributenodes[11, 1]","012527 - referent_units","Student Mastery",0.00433333333333336,0.065687101217851,0,0,0,1.01,17635
"attributenodes[12, 1]","017737 - referent_units","Student Mastery",0.0467222222222224,0.211049119196085,0,0,1,1,13036
"attributenodes[13, 1]","018938 - referent_units","Student Mastery",0.00883333333333324,0.0935723890282015,0,0,0,1.01,18000
"attributenodes[14, 1]","021112 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[15, 1]","022902 - referent_units","Student Mastery",0.999777777777778,0.0149058774692246,1,1,1,1.29,18000
"attributenodes[16, 1]","023192 - referent_units","Student Mastery",0.993833333333334,0.0782877984601862,1,1,1,1,13668
"attributenodes[17, 1]","023325 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[18, 1]","023489 - referent_units","Student Mastery",0.883611111111111,0.320699593424474,0,1,1,1,9157
"attributenodes[19, 1]","023698 - referent_units","Student Mastery",0.997888888888889,0.045899579124875,1,1,1,1.18,16212
"attributenodes[20, 1]","025828 - referent_units","Student Mastery",0.999888888888889,0.0105406327100722,1,1,1,1.29,9000
"attributenodes[21, 1]","026989 - referent_units","Student Mastery",0.0604444444444444,0.238315062063423,0,0,1,1,18000
"attributenodes[22, 1]","027008 - referent_units","Student Mastery",0.562888888888886,0.496042999728656,0,1,1,1,8037
"attributenodes[23, 1]","027278 - referent_units","Student Mastery",0.0567222222222221,0.231317496923752,0,0,1,1,12567
"attributenodes[24, 1]","028196 - referent_units","Student Mastery",0.999833333333333,0.0129092272084467,1,1,1,1.05,18000
"attributenodes[25, 1]","029425 - referent_units","Student Mastery",0.974833333333333,0.156635464032578,0,1,1,1,15852
"attributenodes[26, 1]","029751 - referent_units","Student Mastery",0.0436666666666666,0.204358041220822,0,0,1,1,16669
"attributenodes[27, 1]","029809 - referent_units","Student Mastery",0.996833333333333,0.0561855343256458,1,1,1,1,15633
"attributenodes[28, 1]","030289 - referent_units","Student Mastery",0.503111111111112,0.500004210092695,0,1,1,1,7822
"attributenodes[29, 1]","030380 - referent_units","Student Mastery",0.9985,0.0387018502523666,1,1,1,1,16977
"attributenodes[30, 1]","030616 - referent_units","Student Mastery",0.0163333333333331,0.126757438407223,0,0,0,1.01,16647
"attributenodes[31, 1]","032129 - referent_units","Student Mastery",0.555666666666666,0.496905362940301,0,1,1,1,10764
"attributenodes[32, 1]","032712 - referent_units","Student Mastery",0.9985,0.0387018502523692,1,1,1,1,18000
"attributenodes[33, 1]","035362 - referent_units","Student Mastery",0.610722222222222,0.487600039018085,0,1,1,1,8356
"attributenodes[34, 1]","036116 - referent_units","Student Mastery",0.0108333333333332,0.10352085580735,0,0,0,1.02,17114
"attributenodes[35, 1]","036470 - referent_units","Student Mastery",0.673444444444445,0.46896614268265,0,1,1,1,8931
"attributenodes[36, 1]","037048 - referent_units","Student Mastery",0.0501111111111114,0.218180274646881,0,0,1,1,13249
"attributenodes[37, 1]","037300 - referent_units","Student Mastery",0.0738333333333336,0.261506733052385,0,0,1,1,12615
"attributenodes[38, 1]","037487 - referent_units","Student Mastery",0.9985,0.0387018502523696,1,1,1,1.01,17338
"attributenodes[39, 1]","037597 - referent_units","Student Mastery",0.693555555555556,0.461029343034475,0,1,1,1,9036
"attributenodes[40, 1]","037908 - referent_units","Student Mastery",0.0555,0.22895995800608,0,0,1,1,16745
"attributenodes[41, 1]","038381 - referent_units","Student Mastery",0.249666666666666,0.432832103940649,0,0,1,1,12868
"attributenodes[42, 1]","039517 - referent_units","Student Mastery",0.011611111111111,0.107130438331705,0,0,0,1.01,16501
"attributenodes[43, 1]","039726 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[44, 1]","039913 - referent_units","Student Mastery",0.0762777777777787,0.2654494170798,0,0,1,1.01,12301
"attributenodes[45, 1]","042281 - referent_units","Student Mastery",0.0634444444444443,0.243767405873378,0,0,1,1,13259
"attributenodes[46, 1]","042834 - referent_units","Student Mastery",0.559833333333334,0.49642085268581,0,1,1,1,7825
"attributenodes[47, 1]","042948 - referent_units","Student Mastery",0.135777777777778,0.342561953829249,0,0,1,1,15530
"attributenodes[48, 1]","042995 - referent_units","Student Mastery",0.184222222222222,0.387676082133904,0,0,1,1,11343
"attributenodes[49, 1]","044807 - referent_units","Student Mastery",0.473666666666664,0.499319944213446,0,0,1,1,11319
"attributenodes[50, 1]","045643 - referent_units","Student Mastery",0.994777777777778,0.0720780080307737,1,1,1,1,17055
"attributenodes[51, 1]","046782 - referent_units","Student Mastery",0.103055555555555,0.304039871717083,0,0,1,1,14660
"attributenodes[52, 1]","047925 - referent_units","Student Mastery",0.108222222222222,0.310669494501311,0,0,1,1,13940
"attributenodes[53, 1]","048629 - referent_units","Student Mastery",0.987388888888889,0.111591947773194,1,1,1,1.01,18000
"attributenodes[54, 1]","050639 - referent_units","Student Mastery",0.999611111111111,0.0197169787761025,1,1,1,1.29,18000
"attributenodes[55, 1]","051245 - referent_units","Student Mastery",0.0158333333333334,0.124833908210662,0,0,0,1,16582
"attributenodes[56, 1]","051827 - referent_units","Student Mastery",0.938277777777778,0.240657031999943,0,1,1,1,15542
"attributenodes[57, 1]","052343 - referent_units","Student Mastery",0.973666666666667,0.160129052349335,0,1,1,1,16759
"attributenodes[58, 1]","053407 - referent_units","Student Mastery",0.0770555555555555,0.266686985308508,0,0,1,1,12167
"attributenodes[59, 1]","053457 - referent_units","Student Mastery",0.289388888888889,0.453491328605282,0,0,1,1,13126
"attributenodes[60, 1]","055512 - referent_units","Student Mastery",0.492,0.499949883593162,0,0,1,1,6168
"attributenodes[61, 1]","055621 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[62, 1]","056187 - referent_units","Student Mastery",0.202444444444444,0.401832878066041,0,0,1,1,12945
"attributenodes[63, 1]","058030 - referent_units","Student Mastery",0.916888888888889,0.276057762239241,0,1,1,1,9385
"attributenodes[64, 1]","058846 - referent_units","Student Mastery",0.9985,0.0387018502523658,1,1,1,1.11,18000
"attributenodes[65, 1]","059036 - referent_units","Student Mastery",0.990277777777778,0.0981235726992208,1,1,1,1,15934
"attributenodes[66, 1]","059076 - referent_units","Student Mastery",0.981388888888889,0.135150850601631,1,1,1,1,18000
"attributenodes[67, 1]","061353 - referent_units","Student Mastery",0.631388888888889,0.482441592761233,0,1,1,1,8859
"attributenodes[68, 1]","062708 - referent_units","Student Mastery",0.552722222222222,0.49722640970878,0,1,1,1,8458
"attributenodes[69, 1]","065306 - referent_units","Student Mastery",0.632555555555556,0.482122326938254,0,1,1,1,5891
"attributenodes[70, 1]","066116 - referent_units","Student Mastery",0.199944444444444,0.399969437721,0,0,1,1,12580
"attributenodes[71, 1]","067754 - referent_units","Student Mastery",0.264222222222222,0.440930426028078,0,0,1,1,9789
"attributenodes[72, 1]","068599 - referent_units","Student Mastery",0.882833333333334,0.321627713045966,0,1,1,1,8812
"attributenodes[73, 1]","070709 - referent_units","Student Mastery",0.0164444444444445,0.127180671873554,0,0,0,1,14346
"attributenodes[74, 1]","072160 - referent_units","Student Mastery",0.0181666666666666,0.133557590081282,0,0,0,1,16182
"attributenodes[75, 1]","072657 - referent_units","Student Mastery",0.0103333333333332,0.101129242700089,0,0,0,1,14114
"attributenodes[76, 1]","074166 - referent_units","Student Mastery",0.999055555555556,0.0307181524774729,1,1,1,1.02,18000
"attributenodes[77, 1]","075129 - referent_units","Student Mastery",0.708000000000001,0.454694937261675,0,1,1,1,10405
"attributenodes[78, 1]","075968 - referent_units","Student Mastery",0.116166666666666,0.320433575858731,0,0,1,1,11718
"attributenodes[79, 1]","077015 - referent_units","Student Mastery",0.923444444444444,0.265892328163769,0,1,1,1.01,12848
"attributenodes[80, 1]","078128 - referent_units","Student Mastery",0.509111111111112,0.49993086792356,0,1,1,1,7288
"attributenodes[81, 1]","078675 - referent_units","Student Mastery",0.412277777777778,0.49225834056387,0,0,1,1,6904
"attributenodes[82, 1]","078814 - referent_units","Student Mastery",0.990055555555556,0.0992275136978852,1,1,1,1,16146
"attributenodes[83, 1]","079169 - referent_units","Student Mastery",0.914833333333333,0.279137303693085,0,1,1,1,14555
"attributenodes[84, 1]","079745 - referent_units","Student Mastery",0.564500000000001,0.495836070211445,0,1,1,1,8655
"attributenodes[85, 1]","079971 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[86, 1]","080682 - referent_units","Student Mastery",0.956833333333333,0.203237792526696,0,1,1,1,9541
"attributenodes[87, 1]","082033 - referent_units","Student Mastery",0.998833333333333,0.0341375203895947,1,1,1,1,13549
"attributenodes[88, 1]","082222 - referent_units","Student Mastery",0.802,0.398503227703558,0,1,1,1,12581
"attributenodes[89, 1]","082254 - referent_units","Student Mastery",0.926277777777778,0.261325563464536,0,1,1,1,12046
"attributenodes[90, 1]","082367 - referent_units","Student Mastery",0.00644444444444445,0.0800204306251179,0,0,0,1,16752
"attributenodes[91, 1]","085983 - referent_units","Student Mastery",0.0736666666666657,0.261234913831285,0,0,1,1,13038
"attributenodes[92, 1]","086845 - referent_units","Student Mastery",0.226833333333334,0.418795554053977,0,0,1,1,14482
"attributenodes[93, 1]","087065 - referent_units","Student Mastery",0.986111111111111,0.117033108925604,1,1,1,1,14960
"attributenodes[94, 1]","088278 - referent_units","Student Mastery",0.617111111111109,0.486105045568674,0,1,1,1,7780
"attributenodes[95, 1]","089635 - referent_units","Student Mastery",0.505166666666666,0.499987193568961,0,1,1,1,8042
"attributenodes[96, 1]","091743 - referent_units","Student Mastery",0.219722222222222,0.414069912575358,0,0,1,1,14477
"attributenodes[97, 1]","091809 - referent_units","Student Mastery",0.99,0.0995015076798322,1,1,1,1.02,16979
"attributenodes[98, 1]","091914 - referent_units","Student Mastery",0.784555555555555,0.411141735629229,0,1,1,1,5341
"attributenodes[99, 1]","092128 - referent_units","Student Mastery",0.57638888888889,0.494144010502633,0,1,1,1,9315
"attributenodes[100, 1]","093363 - referent_units","Student Mastery",0.999944444444444,0.00745355992500143,1,1,1,NA,9000
"attributenodes[101, 1]","094901 - referent_units","Student Mastery",0.139166666666666,0.346129977670666,0,0,1,1,13173
"attributenodes[102, 1]","095379 - referent_units","Student Mastery",0.999555555555556,0.0210777511925631,1,1,1,1,15291
"attributenodes[103, 1]","095449 - referent_units","Student Mastery",0.993777777777778,0.0786374574871824,1,1,1,1.02,18000
"attributenodes[104, 1]","095616 - referent_units","Student Mastery",0.598277777777777,0.490259963122859,0,1,1,1,8370
"attributenodes[105, 1]","096699 - referent_units","Student Mastery",0.998166666666667,0.0427793629334795,1,1,1,1.03,16812
"attributenodes[106, 1]","097744 - referent_units","Student Mastery",0.999944444444444,0.0074535599250008,1,1,1,1.29,9000
"attributenodes[107, 1]","098301 - referent_units","Student Mastery",0.207777777777778,0.40572813328017,0,0,1,1,15838
"attributenodes[108, 1]","100955 - referent_units","Student Mastery",0.0741111111111114,0.261958902655028,0,0,1,1,17152
"attributenodes[109, 1]","101299 - referent_units","Student Mastery",0.00266666666666662,0.0515723115329348,0,0,0,1,16485
"attributenodes[110, 1]","101745 - referent_units","Student Mastery",0.300944444444446,0.458681342607847,0,0,1,1,7785
"attributenodes[111, 1]","103291 - referent_units","Student Mastery",0.981111111111111,0.136136432976912,1,1,1,1,17195
"attributenodes[112, 1]","104795 - referent_units","Student Mastery",0.982833333333333,0.129895764388576,1,1,1,1,18000
"attributenodes[113, 1]","104943 - referent_units","Student Mastery",0.298277777777778,0.457514780021494,0,0,1,1,4895
"attributenodes[114, 1]","108857 - referent_units","Student Mastery",0.991944444444445,0.0893929948635093,1,1,1,1,15740
"attributenodes[115, 1]","109504 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[116, 1]","110589 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[117, 1]","112994 - referent_units","Student Mastery",0.89788888888889,0.302802783939217,0,1,1,1,11682
"attributenodes[118, 1]","113558 - referent_units","Student Mastery",0.999888888888889,0.010540632710073,1,1,1,1.29,18000
"attributenodes[119, 1]","113765 - referent_units","Student Mastery",0.0232777777777777,0.150788547365182,0,0,0,1,16548
"attributenodes[120, 1]","113852 - referent_units","Student Mastery",0.303333333333333,0.459710738397528,0,0,1,1,10599
"attributenodes[121, 1]","114980 - referent_units","Student Mastery",0.146111111111111,0.353227385638002,0,0,1,1,14853
"attributenodes[122, 1]","115386 - referent_units","Student Mastery",0.993,0.0833749733920379,1,1,1,1.01,17572
"attributenodes[123, 1]","115451 - referent_units","Student Mastery",0.667222222222223,0.471220823451401,0,1,1,1,9136
"attributenodes[124, 1]","116280 - referent_units","Student Mastery",0.0392222222222225,0.194128651077374,0,0,1,1,14058
"attributenodes[125, 1]","120734 - referent_units","Student Mastery",0.241888888888889,0.428239235229621,0,0,1,1,10838
"attributenodes[126, 1]","122345 - referent_units","Student Mastery",0.0442222222222221,0.20559417686262,0,0,1,1,18000
"attributenodes[127, 1]","123536 - referent_units","Student Mastery",0.999722222222222,0.0166648146090271,1,1,1,1,18000
"attributenodes[128, 1]","124926 - referent_units","Student Mastery",0.116666666666666,0.321031589072246,0,0,1,1,8302
"attributenodes[129, 1]","125607 - referent_units","Student Mastery",0.2875,0.45260924740952,0,0,1,1,8075
"attributenodes[130, 1]","125777 - referent_units","Student Mastery",0.0571111111111111,0.232061250319994,0,0,1,1,18000
"attributenodes[131, 1]","126493 - referent_units","Student Mastery",0.0842777777777775,0.277811665865031,0,0,1,1,13568
"attributenodes[132, 1]","126534 - referent_units","Student Mastery",0.0177222222222223,0.131943594898082,0,0,0,1.01,17635
"attributenodes[133, 1]","127666 - referent_units","Student Mastery",0.950666666666667,0.216569068038784,0,1,1,1,16304
"attributenodes[134, 1]","129353 - referent_units","Student Mastery",0.994222222222222,0.0757938929764164,1,1,1,1.06,17347
"attributenodes[135, 1]","130090 - referent_units","Student Mastery",0.0582222222222218,0.234169685218115,0,0,1,1,16621
"attributenodes[136, 1]","131360 - referent_units","Student Mastery",0.30888888888889,0.46204805342816,0,0,1,1,11868
"attributenodes[137, 1]","132851 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[138, 1]","133060 - referent_units","Student Mastery",0.147722222222223,0.354834274186426,0,0,1,1,12804
"attributenodes[139, 1]","133796 - referent_units","Student Mastery",0.216444444444443,0.411832088903651,0,0,1,1,6583
"attributenodes[140, 1]","137047 - referent_units","Student Mastery",0.275444444444444,0.446750367178491,0,0,1,1,14171
"attributenodes[141, 1]","138008 - referent_units","Student Mastery",0.997888888888889,0.0458995791248755,1,1,1,1,13121
"attributenodes[142, 1]","138181 - referent_units","Student Mastery",0.015888888888889,0.125049193670728,0,0,0,1.01,15227
"attributenodes[143, 1]","138501 - referent_units","Student Mastery",0.243944444444444,0.429471535096371,0,0,1,1,11974
"attributenodes[144, 1]","138579 - referent_units","Student Mastery",0.999777777777778,0.0149058774692231,1,1,1,1.29,18000
"attributenodes[145, 1]","140783 - referent_units","Student Mastery",0.868777777777778,0.337652609150938,0,1,1,1,14664
"attributenodes[146, 1]","141540 - referent_units","Student Mastery",0.0210555555555554,0.143573550219793,0,0,0,1,16250
"attributenodes[147, 1]","141823 - referent_units","Student Mastery",0.0141666666666665,0.118180997426273,0,0,0,1,17130
"attributenodes[148, 1]","142401 - referent_units","Student Mastery",0.186333333333333,0.389386242241546,0,0,1,1,12776
"attributenodes[149, 1]","142994 - referent_units","Student Mastery",0.726111111111111,0.44596503740599,0,1,1,1,10641
"attributenodes[150, 1]","143070 - referent_units","Student Mastery",0.0046111111111111,0.0677503045837974,0,0,0,1.02,14353
"attributenodes[151, 1]","143326 - referent_units","Student Mastery",0.990166666666667,0.0986771495500628,1,1,1,1,16589
"attributenodes[152, 1]","144470 - referent_units","Student Mastery",0.999944444444444,0.00745355992499947,1,1,1,1.29,9000
"attributenodes[153, 1]","145494 - referent_units","Student Mastery",0.177500000000001,0.382101898993528,0,0,1,1,11405
"attributenodes[154, 1]","147477 - referent_units","Student Mastery",0.992944444444445,0.0837028310315047,1,1,1,1.04,18000
"attributenodes[155, 1]","148351 - referent_units","Student Mastery",0.687944444444444,0.463345241649029,0,1,1,1,12292
"attributenodes[156, 1]","149344 - referent_units","Student Mastery",0.638555555555555,0.480432285645251,0,1,1,1,4641
"attributenodes[157, 1]","153261 - referent_units","Student Mastery",0.906055555555557,0.291759515512702,0,1,1,1,11003
"attributenodes[158, 1]","154078 - referent_units","Student Mastery",0.981666666666667,0.134157452731678,1,1,1,1,16924
"attributenodes[159, 1]","155598 - referent_units","Student Mastery",0.507777777777779,0.499953390299981,0,1,1,1,9901
"attributenodes[160, 1]","157460 - referent_units","Student Mastery",0.0183888888888888,0.134356765846743,0,0,0,1,16470
"attributenodes[161, 1]","159479 - referent_units","Student Mastery",0.00427777777777791,0.0652664925202676,0,0,0,1.02,13350
"attributenodes[162, 1]","160449 - referent_units","Student Mastery",0.031611111111111,0.174967281279025,0,0,1,1,14101
"attributenodes[163, 1]","160667 - referent_units","Student Mastery",0.0158333333333335,0.124833908210662,0,0,0,1.01,15215
"attributenodes[164, 1]","161584 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[165, 1]","161893 - referent_units","Student Mastery",0.242055555555557,0.428339651010501,0,0,1,1,13667
"attributenodes[166, 1]","162075 - referent_units","Student Mastery",0.968277777777777,0.175264455536396,0,1,1,1.01,17105
"attributenodes[167, 1]","163403 - referent_units","Student Mastery",0.222944444444445,0.41623292052308,0,0,1,1,12046
"attributenodes[168, 1]","163956 - referent_units","Student Mastery",0.804722222222222,0.396425400310807,0,1,1,1,10558
"attributenodes[169, 1]","166514 - referent_units","Student Mastery",0.055111111111111,0.228203351634245,0,0,1,1,16661
"attributenodes[170, 1]","168942 - referent_units","Student Mastery",0.999388888888889,0.0247137934375927,1,1,1,1.14,18000
"attributenodes[171, 1]","169928 - referent_units","Student Mastery",0.095166666666667,0.293453158741537,0,0,1,1,11344
"attributenodes[172, 1]","170812 - referent_units","Student Mastery",0.0597777777777774,0.237081247047482,0,0,1,1,16935
"attributenodes[173, 1]","170908 - referent_units","Student Mastery",0.994111111111111,0.0765149340226722,1,1,1,1.04,17375
"attributenodes[174, 1]","171801 - referent_units","Student Mastery",0.969722222222222,0.171355376950307,0,1,1,1,16305
"attributenodes[175, 1]","172365 - referent_units","Student Mastery",0.0159444444444443,0.125264084489838,0,0,0,1.01,16561
"attributenodes[176, 1]","174131 - referent_units","Student Mastery",0.252833333333333,0.434648288155291,0,0,1,1,10884
"attributenodes[177, 1]","175084 - referent_units","Student Mastery",0.0570000000000001,0.231849059373899,0,0,1,1,16722
"attributenodes[178, 1]","175957 - referent_units","Student Mastery",0.113722222222222,0.317482406003251,0,0,1,1,16868
"attributenodes[179, 1]","176072 - referent_units","Student Mastery",0.991277777777778,0.0929872326172194,1,1,1,1.01,14892
"attributenodes[180, 1]","176695 - referent_units","Student Mastery",0.988666666666667,0.105856088239172,1,1,1,1,16993
"attributenodes[181, 1]","177317 - referent_units","Student Mastery",0.0521111111111117,0.222257255357774,0,0,1,1,13999
"attributenodes[182, 1]","180628 - referent_units","Student Mastery",0.352888888888891,0.47788179319361,0,0,1,1,4589
"attributenodes[183, 1]","180799 - referent_units","Student Mastery",0.995722222222222,0.0652664925202675,1,1,1,1,17647
"attributenodes[184, 1]","182239 - referent_units","Student Mastery",0.00516666666666658,0.0716955911622101,0,0,0,1,15100
"attributenodes[185, 1]","182470 - referent_units","Student Mastery",0.0194444444444445,0.138084819316423,0,0,0,1,16285
"attributenodes[186, 1]","182668 - referent_units","Student Mastery",0.974777777777778,0.156803787252129,0,1,1,1,14596
"attributenodes[187, 1]","183836 - referent_units","Student Mastery",0.00694444444444433,0.0830457842420349,0,0,0,1,15991
"attributenodes[188, 1]","185546 - referent_units","Student Mastery",0.525111111111111,0.499382905920695,0,1,1,1,11630
"attributenodes[189, 1]","185934 - referent_units","Student Mastery",0.997277777777778,0.0521053026058668,1,1,1,1.04,14109
"attributenodes[190, 1]","188971 - referent_units","Student Mastery",0.58161111111111,0.493308368226624,0,1,1,1,4632
"attributenodes[191, 1]","189354 - referent_units","Student Mastery",0.828611111111112,0.376858896405974,0,1,1,1,11841
"attributenodes[192, 1]","189381 - referent_units","Student Mastery",0.00605555555555556,0.0775836336065256,0,0,0,1,15293
"attributenodes[193, 1]","189599 - referent_units","Student Mastery",0.552777777777778,0.497220515541239,0,1,1,1,10662
"attributenodes[194, 1]","193574 - referent_units","Student Mastery",0.994444444444444,0.0743303323171216,1,1,1,1,16185
"attributenodes[195, 1]","193772 - referent_units","Student Mastery",0.609777777777777,0.487813550058343,0,1,1,1,5063
"attributenodes[196, 1]","194250 - referent_units","Student Mastery",0.999,0.0316078392662876,1,1,1,1.01,16456
"attributenodes[197, 1]","194808 - referent_units","Student Mastery",0.234500000000002,0.423697679151062,0,0,1,1,7263
"attributenodes[198, 1]","194935 - referent_units","Student Mastery",0.924944444444445,0.263488284635309,0,1,1,1,11424
"attributenodes[199, 1]","195908 - referent_units","Student Mastery",0.998888888888889,0.0333157351178518,1,1,1,1.03,18000
"attributenodes[200, 1]","196274 - referent_units","Student Mastery",0.0761111111111114,0.265183175674507,0,0,1,1,11973
"attributenodes[201, 1]","196972 - referent_units","Student Mastery",0.00711111111111091,0.0840293727459163,0,0,0,1,17664
"attributenodes[202, 1]","200397 - referent_units","Student Mastery",0.0986666666666668,0.29822222665656,0,0,1,1,12881
"attributenodes[203, 1]","200558 - referent_units","Student Mastery",0.815055555555556,0.388263276428679,0,1,1,1,7831
"attributenodes[204, 1]","201930 - referent_units","Student Mastery",0.984277777777778,0.124402145168353,1,1,1,1,17089
"attributenodes[205, 1]","202277 - referent_units","Student Mastery",0.999388888888889,0.0247137934375946,1,1,1,1.14,18000
"attributenodes[206, 1]","202595 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[207, 1]","202706 - referent_units","Student Mastery",0.0716666666666668,0.257942342206345,0,0,1,1,12507
"attributenodes[208, 1]","202708 - referent_units","Student Mastery",0.999944444444444,0.00745355992499978,1,1,1,1.29,9000
"attributenodes[209, 1]","202787 - referent_units","Student Mastery",0.980388888888889,0.138663562737969,1,1,1,1,18000
"attributenodes[210, 1]","204518 - referent_units","Student Mastery",0.965555555555556,0.182372893989363,0,1,1,1,16392
"attributenodes[211, 1]","206425 - referent_units","Student Mastery",0.00111111111111101,0.0333157351178523,0,0,0,1.03,16822
"attributenodes[212, 1]","206708 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[213, 1]","207043 - referent_units","Student Mastery",0.221888888888888,0.415528341163453,0,0,1,1,9853
"attributenodes[214, 1]","207192 - referent_units","Student Mastery",0.991166666666667,0.0935723890281962,1,1,1,1.01,16356
"attributenodes[215, 1]","207712 - referent_units","Student Mastery",0.983666666666667,0.126757438407224,1,1,1,1,18000
"attributenodes[216, 1]","208402 - referent_units","Student Mastery",0.329666666666666,0.47010513001721,0,0,1,1,10511
"attributenodes[217, 1]","211985 - referent_units","Student Mastery",0.506111111111109,0.49997654135631,0,1,1,1,7189
"attributenodes[218, 1]","212550 - referent_units","Student Mastery",0.658333333333333,0.474281617176727,0,1,1,1,9490
"attributenodes[219, 1]","212917 - referent_units","Student Mastery",0.989722222222222,0.100859854314247,1,1,1,1,14673
"attributenodes[220, 1]","213509 - referent_units","Student Mastery",0.103833333333333,0.305052687356569,0,0,1,1,10151
"attributenodes[221, 1]","215263 - referent_units","Student Mastery",0.997222222222222,0.0526328379366219,1,1,1,1,18000
