"Raw_Param","Readable_Name","Type","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"attributenodes[1, 1]","724526 - appropriateness","Student Mastery",0.482388888888888,0.499703633361162,0,0,1,1,6806
"attributenodes[2, 1]","617078 - appropriateness","Student Mastery",0.66161111111111,0.473174690084963,0,1,1,1,5867
"attributenodes[3, 1]","292110 - appropriateness","Student Mastery",0.876111111111111,0.3294639016005,0,1,1,1,11326
"attributenodes[4, 1]","553106 - appropriateness","Student Mastery",0.340444444444445,0.473871818049337,0,0,1,1,7853
"attributenodes[5, 1]","607015 - appropriateness","Student Mastery",0.995,0.0705356392488454,1,1,1,1,17671
"attributenodes[6, 1]","845259 - appropriateness","Student Mastery",0.967222222222222,0.17805941833927,0,1,1,1,14485
"attributenodes[7, 1]","100955 - appropriateness","Student Mastery",0.0138888888888887,0.117033108925606,0,0,0,1,15071
"attributenodes[8, 1]","161584 - appropriateness","Student Mastery",0.995277777777778,0.0685578876631852,1,1,1,1.01,18000
"attributenodes[9, 1]","174131 - appropriateness","Student Mastery",0.418055555555557,0.493253104009499,0,0,1,1,7289
"attributenodes[10, 1]","390016 - appropriateness","Student Mastery",0.889722222222222,0.313244378609865,0,1,1,1,11451
"attributenodes[11, 1]","285940 - appropriateness","Student Mastery",0.290833333333333,0.454159404270074,0,0,1,1,4883
"attributenodes[12, 1]","801006 - appropriateness","Student Mastery",0.982555555555556,0.130923978266561,1,1,1,1,13543
"attributenodes[13, 1]","308588 - appropriateness","Student Mastery",0.987,0.113277150709828,1,1,1,1,17512
"attributenodes[14, 1]","850648 - appropriateness","Student Mastery",0.00105555555555565,0.0324730648592742,0,0,0,1.11,17161
"attributenodes[15, 1]","842958 - appropriateness","Student Mastery",0.000333333333333342,0.0182548825139042,0,0,0,1.05,18000
"attributenodes[16, 1]","906079 - appropriateness","Student Mastery",0.0463333333333334,0.210211822932425,0,0,1,1,10402
"attributenodes[17, 1]","077015 - appropriateness","Student Mastery",0.994111111111111,0.0765149340226718,1,1,1,1.02,18000
"attributenodes[18, 1]","358534 - appropriateness","Student Mastery",0.104444444444445,0.305844730527253,0,0,1,1,7017
"attributenodes[19, 1]","101745 - appropriateness","Student Mastery",0.988555555555556,0.106367747446238,1,1,1,1,12558
"attributenodes[20, 1]","872949 - appropriateness","Student Mastery",0.992833333333333,0.0843546138173115,1,1,1,1.01,17099
"attributenodes[21, 1]","898952 - appropriateness","Student Mastery",0.969722222222222,0.171355376950307,0,1,1,1,16760
"attributenodes[22, 1]","947453 - appropriateness","Student Mastery",0.731833333333333,0.443017165720129,0,1,1,1,6897
"attributenodes[23, 1]","399427 - appropriateness","Student Mastery",0.932833333333333,0.250317371748838,0,1,1,1,12847
"attributenodes[24, 1]","888595 - appropriateness","Student Mastery",5.55555555555579e-05,0.00745355992500076,0,0,0,1.29,9000
"attributenodes[25, 1]","288787 - appropriateness","Student Mastery",0.000722222222222268,0.026865232438793,0,0,0,1.05,18000
"attributenodes[26, 1]","367447 - appropriateness","Student Mastery",0.127222222222222,0.33323099712498,0,0,1,1,5606
"attributenodes[27, 1]","517534 - appropriateness","Student Mastery",0.981333333333334,0.135348586833333,1,1,1,1,14687
"attributenodes[28, 1]","306309 - appropriateness","Student Mastery",0.205944444444445,0.40440130542029,0,0,1,1,7444
"attributenodes[29, 1]","221042 - appropriateness","Student Mastery",0.759,0.427702189299155,0,1,1,1,10762
"attributenodes[30, 1]","801662 - appropriateness","Student Mastery",0.9795,0.141706970907006,1,1,1,1,14836
"attributenodes[31, 1]","036470 - appropriateness","Student Mastery",0.000722222222222218,0.0268652324387913,0,0,0,1.01,18000
"attributenodes[32, 1]","960072 - appropriateness","Student Mastery",0.970555555555555,0.169053414225195,0,1,1,1,14578
"attributenodes[33, 1]","258908 - appropriateness","Student Mastery",0.974777777777778,0.15680378725213,0,1,1,1,17674
"attributenodes[34, 1]","474486 - appropriateness","Student Mastery",0.9915,0.0918053279191662,1,1,1,1.01,14772
