"","appropriateness","partitioning_iterating","multiplicative_comparison","referent_units"
"724526",0.482388888888888,0.0773333333333326,0.81461111111111,0.28788888888889
"617078",0.66161111111111,0.433944444444443,0.715444444444445,0.219333333333331
"292110",0.876111111111111,0.0748888888888887,0.928611111111111,0.0041111111111111
"553106",0.340444444444445,0.00672222222222228,0.0644444444444446,0.154166666666666
"607015",0.995,0.999055555555556,0.999,0.995166666666667
"845259",0.967222222222222,0.00133333333333335,0.962611111111111,0.00927777777777767
"100955",0.0138888888888887,0.00344444444444444,0.0141111111111113,0.0296666666666664
"161584",0.995277777777778,0.991444444444444,0.999388888888889,1
"174131",0.418055555555557,0.993944444444444,0.0645555555555556,0.0957777777777787
"390016",0.889722222222222,0.00266666666666674,0.9965,0.979166666666667
"285940",0.290833333333333,0.00227777777777792,0.0340555555555555,0.596777777777778
"801006",0.982555555555556,0.571944444444444,0.968666666666667,0.996222222222222
"308588",0.987,0.998777777777778,0.994111111111111,0.9765
"850648",0.00105555555555565,0.00355555555555547,0.0107777777777777,0.174555555555555
"842958",0.000333333333333342,0.0464444444444445,0.0112222222222223,0.0110555555555556
"906079",0.0463333333333334,0.94738888888889,0.0129999999999998,0.00755555555555559
"077015",0.994111111111111,0.999277777777778,0.998444444444444,0.925833333333334
"358534",0.104444444444445,0.0595000000000001,0.0264444444444451,0.0503333333333335
"101745",0.988555555555556,0.945777777777778,0.920388888888889,0.378055555555556
"872949",0.992833333333333,0.947444444444445,0.987222222222222,0.980277777777778
"898952",0.969722222222222,0.998944444444444,0.998388888888889,0.994222222222222
"947453",0.731833333333333,0.00933333333333328,0.148611111111111,0.0252222222222222
"399427",0.932833333333333,0.999222222222222,0.993166666666667,0.994611111111111
"888595",5.55555555555579e-05,0.0483333333333334,0.0103333333333333,0.0197777777777779
"288787",0.000722222222222268,0.00394444444444438,0.0121111111111112,0.0109444444444445
"367447",0.127222222222222,0.414055555555557,0.0100555555555555,0.402833333333333
"517534",0.981333333333334,0.446000000000001,0.979944444444445,0.294444444444442
"306309",0.205944444444445,0.57572222222222,0.0132222222222225,0.145055555555555
"221042",0.759,0.000888888888888858,0.996388888888889,0.999055555555556
"801662",0.9795,0.00122222222222221,0.9975,0.949888888888889
"036470",0.000722222222222218,0.0569444444444448,0.00705555555555554,0.38272222222222
"960072",0.970555555555555,0.00211111111111109,0.969555555555556,0.0994444444444448
"258908",0.974777777777778,0.999888888888889,0.998666666666667,0.999777777777778
"474486",0.9915,0.994222222222222,0.982166666666667,0.987111111111111
"550082",0.0319444444444444,0.00416666666666664,0.0172222222222223,0.0111666666666667
"312511",0.197777777777778,0.943833333333333,0.646166666666666,0.032722222222222
"595730",0.972166666666667,0.000444444444444425,0.973166666666666,0.778555555555555
"771260",0.453500000000001,0.00172222222222217,0.839111111111111,0.489944444444444
