"item","difficulty_mean","difficulty_SD","difficulty_Rhat","discrimination_mean","discrimination_SD","discrimination_Rhat"
"1",1.38751195472098,9.85284572310922e-05,1,1.67881919554426,0.000103211304017001,1
"2",-0.462224486738612,0.000101622352236528,1,1.56408707417992,0.000100322907504039,1
"3",2.77156259822194,9.92857216927213e-05,1,2.62990037219191,9.76398347642961e-05,1
"4",1.40594071295412,9.98296195349315e-05,1,0.626848877552087,9.93019649714022e-05,1
"5",2.23678362869415,9.79684841935986e-05,1,2.14108700315613,9.92031145142345e-05,1
"6",3.98394960069233,0.000100107159406226,1,1.92831164384312,9.95441802320072e-05,1
"7",0.994645037071068,0.000100417960188146,1,1.05022273247554,9.76432839671753e-05,1
"8a",0.363068693783952,9.85164099594461e-05,1,3.92415460786401,0.00010021484376965,1
"8b",0.127249364248079,0.000102068457922344,1,1.95526326889394,0.000100820074763965,1
"8c",-0.184204085189471,0.00010017070203105,1,0.97779333957192,0.000100711632101638,1
"8d",0.889892769635923,9.92675636820545e-05,1,1.79557012390847,0.000101542492460995,1
"9",1.35045173913389,0.000102844763134172,1,0.666487448347598,9.99176906083426e-05,1
"10a",1.41929128928432,9.81202004531123e-05,1,5.44810746678611,0.000100725832953811,1
"10b",1.59680188765419,9.9249675226403e-05,1,3.37985849383662,9.96347222557484e-05,1
"10c",2.37109073375501,9.94018136840477e-05,1,3.16855214329825,0.000101530179109725,1
"11",1.27251976671182,0.000100097926639216,1,1.2086332341719,9.9872836343235e-05,1
"12",1.46998432826208,9.94341340349404e-05,1,1.571095655126,9.77597810715696e-05,1
"13",0.731099259191337,0.000101825030717469,1,1.24395213244127,9.95422807888368e-05,1
"14",1.98332228460807,9.93286912654964e-05,1,0.802890671603149,9.81292771721985e-05,1
"15a",1.31734013162295,0.000100306346645192,1,2.48332496835554,0.000100917573415791,1
"15b",0.919148124885017,9.81906953714535e-05,1,3.42755293184406,0.000100214519252599,1
"15c",0.478773283028339,0.000100120291053606,1,2.74014191155117,9.80450791503331e-05,1
"16",1.08071632263996,9.81463904105413e-05,1,1.28314087308271,9.98584397415107e-05,1
"17",1.89872453918562,9.93055547888637e-05,1,2.26044492079834,9.79710695564701e-05,1
"18",0.405534830768552,0.000101927517220807,1,1.80367201630471,9.97461873995632e-05,1
"21",1.87631314040609,0.000100500901134846,1,1.72333435695038,9.97175287092498e-05,1
"22",0.637274243499345,9.92083273736688e-05,1,1.95620281619102,9.97009723206585e-05,1
