"Raw_Param","Readable_Name","Type","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"attributenodes[1, 1]","949062 - appropriateness","Student Mastery",0.896388888888889,0.304763857472395,0,1,1,1,11480
"attributenodes[2, 1]","489935 - appropriateness","Student Mastery",0.0853888888888893,0.279467288857395,0,0,1,1,13746
"attributenodes[3, 1]","546995 - appropriateness","Student Mastery",0.995277777777778,0.0685578876631827,1,1,1,1.01,15647
"attributenodes[4, 1]","291341 - appropriateness","Student Mastery",0.00172222222222218,0.0414650659275756,0,0,0,1.02,18000
"attributenodes[5, 1]","773245 - appropriateness","Student Mastery",0.00388888888888889,0.0622413098612717,0,0,0,1,16735
"attributenodes[6, 1]","569699 - appropriateness","Student Mastery",0.238944444444444,0.426450583599648,0,0,1,1,15320
"attributenodes[7, 1]","207712 - appropriateness","Student Mastery",0.371222222222222,0.483145166841575,0,0,1,1,14083
"attributenodes[8, 1]","072657 - appropriateness","Student Mastery",0.701222222222223,0.457734920400189,0,1,1,1,9584
"attributenodes[9, 1]","611131 - appropriateness","Student Mastery",0.979277777777778,0.142456797554436,1,1,1,1,17369
"attributenodes[10, 1]","751398 - appropriateness","Student Mastery",0.0141111111111111,0.117952365747625,0,0,0,1,16715
"attributenodes[11, 1]","140783 - appropriateness","Student Mastery",0.962888888888889,0.18903931302476,0,1,1,1,13456
"attributenodes[12, 1]","967697 - appropriateness","Student Mastery",0.104888888888889,0.306418710464088,0,0,1,1,12623
"attributenodes[13, 1]","388799 - appropriateness","Student Mastery",0.836111111111112,0.370184999899635,0,1,1,1,13917
"attributenodes[14, 1]","217798 - appropriateness","Student Mastery",0.261722222222222,0.439584389922647,0,0,1,1,18168
"attributenodes[15, 1]","006198 - appropriateness","Student Mastery",0.094722222222222,0.292839012067704,0,0,1,1,17191
"attributenodes[16, 1]","051827 - appropriateness","Student Mastery",0.989277777777778,0.102994395466879,1,1,1,1,17057
"attributenodes[17, 1]","961714 - appropriateness","Student Mastery",0.989111111111111,0.103783039905693,1,1,1,1.01,15087
"attributenodes[18, 1]","379967 - appropriateness","Student Mastery",0.993833333333333,0.0782877984601863,1,1,1,1.02,16974
"attributenodes[19, 1]","275720 - appropriateness","Student Mastery",0.996888888888889,0.055692049792776,1,1,1,1,17162
"attributenodes[20, 1]","237544 - appropriateness","Student Mastery",0.652444444444445,0.476207192169744,0,1,1,1,16423
"attributenodes[21, 1]","670143 - appropriateness","Student Mastery",0.6495,0.477139809606076,0,1,1,1,14978
"attributenodes[22, 1]","048629 - appropriateness","Student Mastery",0.638833333333333,0.480352083726331,0,1,1,1,12996
"attributenodes[23, 1]","823683 - appropriateness","Student Mastery",0.119388888888888,0.324254565529551,0,0,1,1,16488
"attributenodes[24, 1]","262762 - appropriateness","Student Mastery",0.460055555555555,0.4984157324679,0,0,1,1,7503
"attributenodes[25, 1]","338247 - appropriateness","Student Mastery",0.982333333333334,0.131740349745598,1,1,1,1,15749
"attributenodes[26, 1]","133060 - appropriateness","Student Mastery",0.203888888888889,0.402898533201392,0,0,1,1,11586
"attributenodes[27, 1]","406656 - appropriateness","Student Mastery",0.993222222222222,0.0820500671421913,1,1,1,1.01,13580
"attributenodes[28, 1]","402102 - appropriateness","Student Mastery",0.0106666666666666,0.102730108503158,0,0,0,1.02,16053
"attributenodes[29, 1]","688844 - appropriateness","Student Mastery",0.986111111111111,0.117033108925608,1,1,1,1.01,12863
"attributenodes[30, 1]","401359 - appropriateness","Student Mastery",0.122277777777777,0.327615454034265,0,0,1,1,10869
"attributenodes[31, 1]","593688 - appropriateness","Student Mastery",0.810666666666667,0.391784060048803,0,1,1,1,11875
"attributenodes[32, 1]","017737 - appropriateness","Student Mastery",0.0488888888888888,0.215641714054464,0,0,1,1,13219
"attributenodes[33, 1]","721326 - appropriateness","Student Mastery",0.934111111111111,0.248094664811222,0,1,1,1,13801
"attributenodes[34, 1]","360948 - appropriateness","Student Mastery",0.983666666666667,0.126757438407223,1,1,1,1,13661
"attributenodes[35, 1]","171801 - appropriateness","Student Mastery",0.825666666666667,0.379406404006435,0,1,1,1,12307
"attributenodes[36, 1]","037597 - appropriateness","Student Mastery",0.975833333333333,0.153570664868952,1,1,1,1,13147
"attributenodes[37, 1]","298241 - appropriateness","Student Mastery",0.661444444444446,0.473231584872612,0,1,1,1,13328
"attributenodes[38, 1]","091743 - appropriateness","Student Mastery",0.931111111111111,0.253272133457627,0,1,1,1,12761
"attributenodes[39, 1]","825897 - appropriateness","Student Mastery",0.968166666666667,0.175561056439153,0,1,1,1.01,15552
"attributenodes[40, 1]","377260 - appropriateness","Student Mastery",0.943722222222222,0.230463750421668,0,1,1,1,13420
"attributenodes[41, 1]","131360 - appropriateness","Student Mastery",0.660444444444445,0.473571578215622,0,1,1,1,16673
"attributenodes[42, 1]","990978 - appropriateness","Student Mastery",0.0109444444444445,0.104044533656776,0,0,0,1,15935
"attributenodes[43, 1]","288447 - appropriateness","Student Mastery",0.913444444444445,0.281190476420113,0,1,1,1,17638
"attributenodes[44, 1]","558826 - appropriateness","Student Mastery",0.706166666666666,0.455529179869973,0,1,1,1,10309
"attributenodes[45, 1]","183836 - appropriateness","Student Mastery",0.117166666666667,0.321627713045969,0,0,1,1,16011
"attributenodes[46, 1]","535982 - appropriateness","Student Mastery",0.789611111111111,0.407596165368283,0,1,1,1,9951
"attributenodes[47, 1]","254309 - appropriateness","Student Mastery",0.950166666666667,0.21760653235227,0,1,1,1,17469
"attributenodes[48, 1]","253937 - appropriateness","Student Mastery",0.990777777777778,0.0955912155400339,1,1,1,1,18000
"attributenodes[49, 1]","644116 - appropriateness","Student Mastery",0.969333333333333,0.172417730441977,0,1,1,1.01,13060
"attributenodes[50, 1]","175957 - appropriateness","Student Mastery",0.0431666666666665,0.2032377925267,0,0,1,1,17323
"attributenodes[51, 1]","739726 - appropriateness","Student Mastery",0.0223333333333332,0.147769308903454,0,0,0,1,17442
"attributenodes[52, 1]","023325 - appropriateness","Student Mastery",0.995944444444444,0.0635557427149372,1,1,1,1,15127
"attributenodes[53, 1]","448125 - appropriateness","Student Mastery",0.0868888888888883,0.28167999193284,0,0,1,1,14970
"attributenodes[54, 1]","045643 - appropriateness","Student Mastery",0.984555555555555,0.123315685945308,1,1,1,1,17173
"attributenodes[55, 1]","697772 - appropriateness","Student Mastery",0.299333333333333,0.457978756454236,0,0,1,1,12975
"attributenodes[56, 1]","689170 - appropriateness","Student Mastery",0.154833333333333,0.361755777596674,0,0,1,1,11793
"attributenodes[57, 1]","222042 - appropriateness","Student Mastery",0.0453333333333343,0.208039964193122,0,0,1,1.01,16440
"attributenodes[58, 1]","075968 - appropriateness","Student Mastery",0.935444444444444,0.245746802390795,0,1,1,1,10879
"attributenodes[59, 1]","408017 - appropriateness","Student Mastery",0.913722222222222,0.280781592603923,0,1,1,1,13877
"attributenodes[60, 1]","046782 - appropriateness","Student Mastery",0.969666666666667,0.171507598609806,0,1,1,1,14128
"attributenodes[61, 1]","714191 - appropriateness","Student Mastery",0.972333333333333,0.164020476824068,0,1,1,1,14495
"attributenodes[62, 1]","953970 - appropriateness","Student Mastery",0.996944444444444,0.0551940973257202,1,1,1,1.03,14746
"attributenodes[63, 1]","201930 - appropriateness","Student Mastery",0.994111111111111,0.0765149340226714,1,1,1,1.04,14602
"attributenodes[64, 1]","112994 - appropriateness","Student Mastery",0.677277777777778,0.467530462218797,0,1,1,1,10948
"attributenodes[65, 1]","694075 - appropriateness","Student Mastery",0.587666666666668,0.492268238080874,0,1,1,1,8284
"attributenodes[66, 1]","226867 - appropriateness","Student Mastery",0.980944444444444,0.136724101330686,1,1,1,1,17523
"attributenodes[67, 1]","688058 - appropriateness","Student Mastery",0.760666666666667,0.426688415005854,0,1,1,1,15154
"attributenodes[68, 1]","110589 - appropriateness","Student Mastery",0.9965,0.0590588162313885,1,1,1,1.01,16927
"attributenodes[69, 1]","548840 - appropriateness","Student Mastery",0.987888888888888,0.109385085027014,1,1,1,1.01,16274
"attributenodes[70, 1]","126534 - appropriateness","Student Mastery",0.928833333333333,0.257110180191338,0,1,1,1,15119
"attributenodes[71, 1]","050639 - appropriateness","Student Mastery",0.979777777777778,0.140763577497088,1,1,1,1,17249
"attributenodes[72, 1]","491194 - appropriateness","Student Mastery",0.00783333333333325,0.0881612387755695,0,0,0,1.01,17718
"attributenodes[73, 1]","449699 - appropriateness","Student Mastery",0.912333333333333,0.282817371938686,0,1,1,1,14253
"attributenodes[74, 1]","233092 - appropriateness","Student Mastery",0.0931111111111109,0.290596151987755,0,0,1,1,11580
"attributenodes[75, 1]","567170 - appropriateness","Student Mastery",0.00411111111111114,0.0639877905954295,0,0,0,1.02,18000
"attributenodes[76, 1]","138579 - appropriateness","Student Mastery",0.976222222222222,0.152360377759039,1,1,1,1,16613
"attributenodes[77, 1]","129353 - appropriateness","Student Mastery",0.98,0.140003889050962,1,1,1,1.01,15302
"attributenodes[78, 1]","840002 - appropriateness","Student Mastery",0.675444444444445,0.468221556997627,0,1,1,1,9208
"attributenodes[79, 1]","927567 - appropriateness","Student Mastery",0.729277777777778,0.444345214506165,0,1,1,1,11368
"attributenodes[80, 1]","500902 - appropriateness","Student Mastery",0.000222222222222219,0.0149058774692231,0,0,0,1.29,18000
