"item","difficulty_mean","difficulty_SD","difficulty_Rhat","discrimination_mean","discrimination_SD","discrimination_Rhat"
"1",1.50288985496306,0.213948292852315,1,1.73032210383393,0.275456501903645,1
"2",-0.321013782300369,0.207597232828956,1,1.61273447910137,0.297826743636031,1.02
"3",2.85703978427153,0.352590108840513,1.07,2.73856353444306,0.386781778884296,1.06
"4",1.45655467252656,0.192662654949833,1.02,0.663079319157749,0.254568989910467,1.02
"5",2.34407416969178,0.303189841820268,1,2.15819999229107,0.344959706135738,1
"6",3.92923288066566,0.480391108701132,1.01,1.85476545834885,0.538242019315202,1.01
"7",1.0060810698186,0.172882686317303,1,0.989611868507218,0.236604493961975,1.01
"8a",0.682499140947373,0.356658725940597,1.04,3.72851952955091,0.721821471357672,1
"8b",0.173324857589539,0.207316612687283,1,1.74486851674523,0.30704959118047,1.02
"8c",0.084285463034569,0.207656509792555,1,1.32572517697429,0.27090149397005,1
"8d",1.06790896774429,0.288035115153801,1.01,1.85179238056695,0.324088515348537,1
"9",1.42059648462281,0.195514558466411,1,0.726209610993681,0.259419635000229,1
"10a",1.77372600169457,0.518570224219929,1.01,5.40272886487759,0.884547813882531,1
"10b",1.64093114828476,0.216707243287822,1.01,3.42516922382921,0.348402272725259,1.01
"10c",2.39280746281384,0.268869036536294,1.04,3.16466492824726,0.327083816632339,1.03
"11",1.35551155818794,0.207421133784058,1,1.246577316684,0.264837709592793,1
"12",1.61625009944626,0.223473064225744,1,1.67779649164328,0.281517279284179,1
"13",0.722327518524845,0.12990098579731,1,1.22755727347394,0.230774313995076,1
"14",1.96149938576794,0.16936648260826,1,0.796289110663629,0.28263887747607,1
"15a",1.31593065137894,0.163957713020798,1,2.4952925459698,0.28671593278207,1
"15b",0.917142513350041,0.175885735385589,1.01,3.42390250971896,0.4063986448499,1
"15c",0.474268623440547,0.145972326688408,1,2.71535848326294,0.335707866918872,1
"16",1.2033241983939,0.194928017498067,1,1.38023430834618,0.252457808656854,1
"17",1.85157627475382,0.176160084110415,1,2.31960880890901,0.278250618784196,1
"18",0.396748399786926,0.115067189361031,1,1.96271156421363,0.308014166354822,1
"21",1.89953306583162,0.247469295403278,1.03,1.64014343006982,0.30215031929695,1.01
"22",0.600293087541747,0.120820444483592,1,2.02600156337887,0.280352151300622,1
