"Raw_Param","Readable_Name","Type","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"attributenodes[1, 1]","724526 - referent_units","Student Mastery",0.536388888888888,0.49868794336529,0,1,1,1,6010
"attributenodes[2, 1]","617078 - referent_units","Student Mastery",0.267277777777777,0.442550842173851,0,0,1,1,3765
"attributenodes[3, 1]","292110 - referent_units","Student Mastery",0.00877777777777779,0.0932802862115912,0,0,0,1,16248
"attributenodes[4, 1]","553106 - referent_units","Student Mastery",0.342722222222223,0.474632716911337,0,0,1,1,8768
"attributenodes[5, 1]","607015 - referent_units","Student Mastery",0.991388888888889,0.0923982368795249,1,1,1,1,17252
"attributenodes[6, 1]","845259 - referent_units","Student Mastery",0.0432777777777776,0.203487375833308,0,0,1,1,11398
"attributenodes[7, 1]","100955 - referent_units","Student Mastery",0.0681111111111112,0.251943473961437,0,0,1,1,17059
"attributenodes[8, 1]","161584 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[9, 1]","174131 - referent_units","Student Mastery",0.203555555555557,0.402653323050353,0,0,1,1,11015
"attributenodes[10, 1]","390016 - referent_units","Student Mastery",0.993777777777778,0.0786374574871807,1,1,1,1,15810
"attributenodes[11, 1]","285940 - referent_units","Student Mastery",0.797833333333333,0.401627024618245,0,1,1,1,7853
"attributenodes[12, 1]","801006 - referent_units","Student Mastery",0.997888888888889,0.0458995791248747,1,1,1,1.06,14094
"attributenodes[13, 1]","308588 - referent_units","Student Mastery",0.945555555555556,0.226898891769453,0,1,1,1,12798
"attributenodes[14, 1]","850648 - referent_units","Student Mastery",0.327722222222223,0.469396003375009,0,0,1,1,7409
"attributenodes[15, 1]","842958 - referent_units","Student Mastery",0.0238333333333337,0.152533924568729,0,0,0,1.01,18000
"attributenodes[16, 1]","906079 - referent_units","Student Mastery",0.0148888888888883,0.121111621105541,0,0,0,1.01,15696
"attributenodes[17, 1]","077015 - referent_units","Student Mastery",0.836777777777778,0.369578566254706,0,1,1,1,7810
"attributenodes[18, 1]","358534 - referent_units","Student Mastery",0.120222222222222,0.325230250559944,0,0,1,1,13252
"attributenodes[19, 1]","101745 - referent_units","Student Mastery",0.205333333333335,0.403956211916194,0,0,1,1,7554
"attributenodes[20, 1]","872949 - referent_units","Student Mastery",0.968166666666667,0.175561056439155,0,1,1,1,12473
"attributenodes[21, 1]","898952 - referent_units","Student Mastery",0.9875,0.111105516523671,1,1,1,1,15569
"attributenodes[22, 1]","947453 - referent_units","Student Mastery",0.0657777777777778,0.247900132847777,0,0,1,1,16736
"attributenodes[23, 1]","399427 - referent_units","Student Mastery",0.985777777777778,0.118409161582625,1,1,1,1.01,17399
"attributenodes[24, 1]","888595 - referent_units","Student Mastery",0.0526111111111113,0.223262068695656,0,0,1,1,16276
"attributenodes[25, 1]","288787 - referent_units","Student Mastery",0.0272222222222224,0.162734888999002,0,0,1,1.01,18379
"attributenodes[26, 1]","367447 - referent_units","Student Mastery",0.566888888888893,0.495519442229536,0,1,1,1,4760
"attributenodes[27, 1]","517534 - referent_units","Student Mastery",0.251944444444444,0.434141581064041,0,0,1,1,6824
"attributenodes[28, 1]","306309 - referent_units","Student Mastery",0.273888888888888,0.445965037405992,0,0,1,1,8489
"attributenodes[29, 1]","221042 - referent_units","Student Mastery",0.999888888888889,0.010540632710069,1,1,1,NA,9000
"attributenodes[30, 1]","801662 - referent_units","Student Mastery",0.984722222222222,0.122658889317354,1,1,1,1.01,14362
"attributenodes[31, 1]","036470 - referent_units","Student Mastery",0.610333333333334,0.487688188165391,0,1,1,1,5688
"attributenodes[32, 1]","960072 - referent_units","Student Mastery",0.233222222222221,0.422894257249542,0,0,1,1,8980
