"item","difficulty_mean","difficulty_SD","difficulty_Rhat","discrimination_mean","discrimination_SD","discrimination_Rhat"
"1",1.50288746580449,0.000102763705205892,1,1.73032193213214,9.77489114791079e-05,1
"2",-0.321014114529197,0.000101119565927805,1,1.61273580840268,0.000101452357757375,1
"3",2.85703691384735,0.000100342782566214,1,2.73856263536563,0.000101937991387859,1
"4",1.45655518148272,9.97496657005583e-05,1,0.663080472712843,0.000103019113281931,1
"5",2.34407363911421,0.000100086240961541,1,2.15820204104747,0.000101134810970627,1
"6",3.92923630604414,0.000102160767752228,1,1.85476376905915,9.73391473410417e-05,1
"7",1.00607640516942,9.91564865907714e-05,1,0.989612374237599,0.0001004692155075,1
"8a",0.682497798673573,0.000101058673514498,1,3.72851931548762,9.8463008520119e-05,1
"8b",0.173327419738823,0.000100874035747322,1,1.74486917911816,9.99785704889007e-05,1
"8c",0.0842850111741767,9.95000077235849e-05,1,1.32572705433624,9.7383444638741e-05,1
"8d",1.06791219129111,9.94168866352662e-05,1,1.85178803434195,0.000100991696001118,1
"9",1.42059199203324,0.000100331060118475,1,0.726210667969603,9.81865643528507e-05,1
"10a",1.77373013041299,0.000100224044965639,1,5.40272869372844,0.000102151204582226,1
"10b",1.6409315792585,9.95047512474277e-05,1,3.42516931059845,9.91215010578499e-05,1
"10c",2.39280749620777,0.000101440183072471,1,3.16466737611834,0.000102320876122471,1
"11",1.35551282140478,9.94992666543295e-05,1,1.2465810433989,0.000101496970616107,1
"12",1.61624740916849,0.000100934403412952,1,1.67779913710643,0.000100602786333778,1
"13",0.722329131599133,9.93825600045472e-05,1,1.227555330325,0.000101930316524078,1
"14",1.96149845130802,0.000100525181390954,1,0.79628735103464,9.97793755897541e-05,1
"15a",1.31593124674129,0.000101259130994568,1,2.49529393807715,9.71990039519849e-05,1.01
"15b",0.91714293270271,0.00010124116619508,1,3.42390219966629,0.000100489533175862,1
"15c",0.474269549862877,0.00010049403250988,1,2.71535693818403,0.000100253378927371,1
"16",1.2033236497616,9.88766799916156e-05,1,1.38023559995625,9.8238718891884e-05,1
"17",1.85157496058628,0.000102623766599375,1,2.31960462348989,9.91743720656969e-05,1
"18",0.396748868977889,0.000101599294334035,1,1.96271187165198,9.8382099503857e-05,1
"21",1.89953485431867,9.91373140044967e-05,1,1.6401412461506,0.00010115059308539,1
"22",0.600290419195699,0.000100206135910848,1,2.02599852534725,0.000100563581927661,1
