"","referent_units","partitioning_iterating","appropriateness","multiplicative_comparison"
"949062",0.934277777777778,0.6315,0.915388888888888,0.865888888888889
"489935",0.287388888888889,0.0638888888888885,0.300388888888889,0.805388888888888
"546995",0.0013333333333334,0.902944444444445,0.983833333333334,0.970166666666666
"291341",0.0940555555555555,0.130222222222222,0.0394999999999998,0.0625555555555557
"773245",0.996111111111111,0.995222222222222,0.00811111111111119,0.0356111111111113
"569699",0.163888888888887,0.0108888888888889,0.902277777777778,0.063333333333334
"207712",0.987722222222222,0.00155555555555555,0.718333333333333,0.970888888888889
"072657",0.00772222222222225,0.0880000000000002,0.905611111111111,0.939444444444445
"611131",0.9925,0.977833333333334,0.984777777777778,0.165888888888889
"751398",0.0152222222222221,0.839833333333333,0.0377777777777778,0.131777777777778
"140783",0.718166666666668,0.951722222222222,0.903388888888889,0.765
"967697",0.113166666666667,0.611666666666667,0.0588333333333332,0.927111111111112
"388799",0.957833333333333,0.968666666666667,0.593833333333333,0.994111111111111
"217798",0.612222222222222,0.994,0.311,0.0168888888888888
"006198",5.55555555555628e-05,0.993611111111111,0.0381111111111112,0.9735
"051827",0.948055555555556,0.788055555555556,0.983777777777778,0.867277777777777
"961714",0.0222222222222223,0.745055555555555,0.983444444444445,0.90861111111111
"379967",0.999722222222222,0.941166666666666,0.983333333333333,0.8725
"275720",0.999611111111111,0.998944444444444,0.984666666666667,0.999777777777778
"237544",0.598055555555556,0.00505555555555547,0.984388888888889,0.0334444444444442
"670143",0.988833333333333,0.000500000000000016,0.907,0.998055555555555
"048629",0.991666666666666,0.00950000000000022,0.903722222222222,0.970111111111111
"823683",0.751222222222223,0.899777777777777,0.252611111111111,0.00738888888888904
"262762",0.385333333333334,0.177166666666667,0.910888888888889,0.0395555555555557
"338247",0.347833333333333,0.945111111111111,0.922666666666667,0.990777777777778
"133060",0.163,0.0592222222222222,0.594722222222222,0.937111111111111
"406656",0.950388888888889,0.580166666666668,0.982555555555556,0.997888888888889
"402102",0.072388888888889,0.0179444444444444,0.0618888888888888,0.916722222222223
"688844",0.475111111111111,0.931,0.942777777777778,0.977166666666667
"401359",0.495777777777777,0.069777777777778,0.652944444444445,0.0349999999999999
"593688",0.1995,0.839055555555555,0.905944444444445,0.0193333333333334
"017737",0.030166666666667,0.0618888888888886,0.225666666666667,0.925111111111111
"721326",0.245000000000001,0.952555555555556,0.712,0.992666666666667
"360948",0.999722222222222,0.956388888888889,0.941722222222223,0.873277777777778
"171801",0.963277777777778,0.898333333333333,0.902722222222222,0.00161111111111118
"037597",0.710777777777777,0.812999999999999,0.942166666666667,0.9485
"298241",0.973277777777778,0.000166666666666674,0.925944444444444,0.971944444444444
"091743",0.199888888888889,0.0761666666666664,0.984333333333333,0.948277777777778
"825897",0.973722222222223,0.948555555555555,0.982666666666667,0.00449999999999989
"377260",0.565722222222223,0.454333333333333,0.941611111111111,0.588166666666667
"131360",0.378222222222222,0.00622222222222229,0.985,0.0505555555555554
"990978",0.140111111111111,0.205833333333334,0.0819444444444444,0.062666666666667
"288447",1,0.991444444444445,0.658222222222223,0.998222222222222
"558826",0.818722222222222,0.0203333333333333,0.90388888888889,0.964166666666666
"183836",0.00483333333333342,0.818666666666667,0.253,0.0236666666666667
"535982",0.998333333333333,0.639166666666667,0.658833333333333,0.864833333333333
"254309",0.994388888888889,0.994888888888889,0.716444444444445,1
"253937",0.997888888888889,0.997944444444445,0.940722222222222,0.983888888888889
"644116",0.0472777777777772,0.734222222222222,0.943833333333333,0.922055555555556
"175957",0.0954444444444438,0.00933333333333327,0.624500000000001,0.0693888888888892
"739726",0.999722222222222,0.985222222222222,0.00800000000000038,0.946833333333333
"023325",0.999888888888889,0.976555555555556,0.984444444444444,0.999111111111111
"448125",0.0117777777777778,0.939333333333333,0.0601666666666662,0.760555555555556
"045643",0.994333333333333,0.94538888888889,0.922777777777778,0.979666666666667
"697772",0.249555555555556,0.0025,0.740833333333334,0.841666666666666
"689170",0.0113333333333334,0.0204444444444444,0.596888888888889,0.944833333333334
"222042",0.0273888888888891,0.010111111111111,0.620555555555556,0.0754444444444445
"075968",0.0915000000000001,0.361222222222222,0.942777777777778,0.958444444444445
"408017",0.504833333333334,0.0192222222222224,0.982722222222222,0.956777777777778
"046782",0.0654444444444439,0.87111111111111,0.983222222222222,0.312111111111112
"714191",0.906944444444444,0.851111111111111,0.902444444444444,0.996666666666667
"953970",0.962722222222222,0.8995,0.983777777777778,0.999444444444444
"201930",0.984166666666667,0.73311111111111,0.982388888888889,0.987555555555555
"112994",0.899888888888889,0.0185000000000001,0.904,0.968111111111111
"694075",0.963611111111111,0.941388888888889,0.715944444444444,0.0407777777777779
"226867",0.999944444444444,0.993444444444444,0.909777777777778,0.999222222222222
"688058",0.984833333333333,0.998111111111111,0.361666666666667,0.995444444444444
"110589",1,0.998777777777778,0.982277777777778,0.999888888888889
"548840",0.999944444444444,0.729055555555555,0.943222222222222,0.999277777777778
"126534",0.0138333333333337,0.983277777777778,0.717666666666667,0.973833333333333
"050639",0.999833333333333,0.988333333333333,0.900888888888888,0.999777777777778
"491194",0.0122777777777778,0.513833333333332,0.00950000000000016,0.842555555555555
"449699",0.984888888888889,0.987722222222222,0.7635,0.847222222222222
"233092",0.191666666666667,0.255611111111112,0.185666666666666,0.902055555555555
"567170",0.0481666666666665,0.0204999999999999,0.0365555555555558,0.947722222222223
"138579",0.999388888888889,0.997888888888889,0.911333333333334,0.984888888888889
"129353",0.990166666666667,0.898277777777778,0.924166666666666,0.999444444444444
"840002",0.845777777777778,0.0988333333333341,0.945,0.120888888888889
"927567",0.945777777777778,0.989444444444444,0.587833333333332,0.698611111111111
"500902",0.083277777777778,0.0101666666666667,0.010611111111111,0.0688333333333332
"202706",0.0828888888888892,0.00544444444444439,0.906888888888889,0.911166666666667
"695528",0.105444444444445,0.127,0.0354444444444447,0.0663888888888894
"631683",0.930555555555555,0.999666666666667,0.716333333333333,0.995388888888889
"302217",0.999944444444444,0.00177777777777773,0.735277777777778,0.998777777777778
"379230",0.00994444444444433,0.0613333333333343,0.0134444444444446,0.93211111111111
"514087",0.0567777777777782,0.787666666666667,0.984666666666666,0.0250555555555557
"299794",0.999944444444444,0.992,0.983055555555556,0.998333333333333
"794947",0.541388888888889,0.553555555555556,0.0571111111111113,0.97
"732781",0.997666666666667,0.105166666666667,0.983444444444445,0.957666666666666
"934480",0.998611111111111,0.999944444444444,0.984222222222222,0.999777777777778
"547630",0.239833333333332,0.101333333333333,0.305611111111111,0.0520000000000002
"291717",0.354666666666667,0.00344444444444442,0.907333333333333,0.953166666666667
"818920",0.468388888888889,0.204722222222222,0.0107777777777778,0.701777777777778
"893312",0.773,0.111,0.677166666666666,0.0200000000000003
"189381",0.00627777777777779,0.993166666666667,0.906833333333333,0.969388888888889
"661949",0.334333333333333,0.00711111111111079,0.710555555555556,0.0535000000000003
"138181",0.0184444444444444,0.990222222222222,0.62111111111111,0.972666666666667
"506707",0.118333333333334,0.00805555555555546,0.938388888888889,0.0663888888888891
"354564",0.998222222222222,0.409666666666667,0.938722222222223,0.998166666666667
"574158",0.995666666666667,0.999333333333333,0.942666666666666,0.999666666666667
"634424",0.146722222222221,0.0846666666666664,0.0591111111111111,0.878499999999999
"434471",0.00550000000000007,0.825555555555556,0.203388888888889,0.0514444444444444
"547323",0.471277777777778,0.969388888888889,0.722222222222223,0.992277777777778
"123536",0.999944444444444,0.982,0.983555555555556,0.999333333333333
"132851",0.999833333333333,0.999888888888889,0.983722222222222,0.961944444444444
"394832",0.823277777777778,0.954888888888889,0.984166666666667,0.977777777777778
"453044",0.996777777777778,0.00172222222222224,0.983,0.998277777777778
"713777",0.208000000000001,0.204666666666666,0.620722222222223,0.866111111111112
"095616",0.615500000000001,0.865611111111111,0.985277777777778,0.991666666666667
"070709",0.0160555555555556,0.927611111111111,0.941944444444444,0.0179444444444445
"087065",0.987166666666667,0.0100000000000001,0.302722222222222,0.998
"821791",0.0471666666666668,0.155055555555555,0.716333333333333,0.925666666666667
"044807",0.554888888888888,0.114666666666667,0.00655555555555545,0.0326111111111113
"113852",0.248666666666667,0.973833333333333,0.902222222222222,0.992055555555555
"868485",0.999611111111111,0.981166666666667,0.922555555555555,0.997833333333333
"838813",0.095388888888889,0.00194444444444426,0.0435,0.908333333333333
"394295",0.999,0.995,0.0141111111111111,0.980944444444444
"784383",0.999333333333333,0.690777777777778,0.186888888888889,0.993944444444444
"231023",1,0.997888888888889,0.982277777777778,0.999555555555556
"823110",0.00777777777777774,0.999777777777778,0.94,0.991222222222222
"548338",0.0112777777777777,0.0875555555555555,0.00766666666666655,0.937277777777778
"344652",0.998777777777778,0.950277777777778,0.713277777777779,0.999722222222222
"837358",0.999611111111111,0.998666666666667,0.937944444444445,0.999833333333333
"483995",0.0472222222222221,0.959388888888889,0.9045,0.989944444444445
"085983",0.0549444444444443,0.0825000000000004,0.623,0.921111111111112
"898921",0.975666666666666,0.979666666666667,0.983277777777778,0.984166666666667
"909476",0.994388888888889,0.988166666666667,0.0535555555555559,0.999833333333333
"290814",0.0958333333333332,0.925722222222222,0.331444444444445,0.989722222222222
"694715",0.991222222222222,0.9965,0.656,0.984
"924791",0.0992777777777777,0.0277222222222222,0.00794444444444456,0.899944444444445
"966741",0.5405,0.462111111111111,0.904444444444445,0.984777777777778
"929610",0.730333333333333,0.0919444444444449,0.940166666666666,0.955277777777778
"202708",0.999944444444444,0.960222222222222,0.943055555555555,0.999222222222222
"212917",0.988722222222222,0.0016111111111112,0.308222222222222,0.998166666666667
"613719",0.0257777777777777,0.0093888888888888,0.00899999999999978,0.0746666666666675
"987418",0.891611111111111,0.0491666666666668,0.984,0.0117222222222222
"221606",0.982888888888889,0.989166666666667,0.983277777777778,0.388833333333334
"945658",0.0563888888888883,0.00216666666666668,0.654333333333333,0.922277777777778
"520802",0.966,0.641611111111111,0.901611111111111,0.00427777777777776
"698435",0.151111111111111,0.788166666666667,0.0661666666666668,0.0413888888888887
"655710",0.110666666666666,0.158666666666667,0.660944444444445,0.944166666666667
"138008",0.997666666666667,0.9995,0.983722222222222,0.995388888888889
"425839",0.00722222222222225,0.964166666666667,0.982722222222222,0.989388888888889
"279044",0.939333333333333,0.945555555555556,0.907111111111111,0.996944444444444
"934096",1,0.999222222222222,0.982555555555556,0.999722222222222
"777235",0.517055555555555,0.984277777777778,0.76138888888889,0.979333333333334
"270380",0.0252777777777778,0.00950000000000005,0.0101111111111111,0.0717222222222231
"837851",0.999944444444444,0.984388888888889,0.983111111111111,0.999888888888889
"116280",0.033444444444444,0.00588888888888881,0.0447777777777776,0.935
"585846",0.995166666666667,0.0457222222222228,0.984166666666667,0.998833333333333
"575464",0.953166666666667,0.910444444444445,0.943222222222223,0.995111111111111
"770474",0.999944444444444,0.997277777777778,0.982833333333333,0.999166666666667
"029751",0.0470555555555555,0.130722222222223,0.182222222222222,0.0627222222222224
"948559",0.847166666666667,0.0172777777777775,0.9055,0.990555555555555
"496844",0.0458333333333337,0.060611111111111,0.309055555555556,0.938666666666667
"836791",0.621555555555555,0.778666666666667,0.00233333333333328,0.054611111111111
"903644",0.999944444444444,0.835333333333333,0.984888888888888,0.998277777777778
"404358",0.159222222222223,0.0089444444444444,0.00977777777777769,0.0651666666666669
"748221",0.171333333333334,0.965222222222222,0.0102222222222221,0.991222222222222
"157460",0.0103333333333332,0.0635000000000009,0.908611111111111,0.929055555555556
"180628",0.330277777777777,0.958611111111111,0.0652777777777776,0.564055555555556
"865680",0.0909999999999996,0.881444444444445,0.715611111111112,0.937944444444445
"947900",0.0615000000000006,0.232777777777778,0.742277777777778,0.0573333333333332
"427590",0.970777777777778,0.00183333333333349,0.938611111111111,0.997
"787282",0.0113333333333334,0.00599999999999987,0.0103333333333332,0.939777777777778
"987733",0.239333333333333,0.0530555555555553,0.191,0.835722222222222
"795892",0.0210555555555553,0.8135,0.337333333333333,0.0255000000000001
"452341",0.985111111111111,0.0479444444444447,0.982611111111111,0.996666666666667
"473847",0.999777777777778,0.976055555555556,0.907388888888889,0.995222222222222
"202787",0.964888888888889,0.999833333333333,0.984833333333333,0.994333333333333
"265021",0.647000000000001,0.977333333333333,0.711222222222223,0.993444444444444
"294108",0.0664999999999998,0.934444444444444,0.190611111111111,0.97
"759815",0.132888888888889,0.222166666666667,0.0601111111111111,0.0548333333333333
"182668",0.966944444444445,0.00166666666666666,0.00644444444444464,0.997444444444444
"747495",0.0167777777777779,0.061166666666667,0.904388888888889,0.930944444444444
"469900",0.732888888888889,0.468888888888889,0.9845,0.888833333333333
"022902",0.999722222222222,0.9985,0.925777777777777,0.995944444444444
"573860",0.00611111111111107,0.032388888888889,0.037222222222222,0.939111111111111
"042948",0.121,0.125111111111111,0.309777777777777,0.0614444444444448
"222242",0.999944444444444,1,0.922944444444444,0.984333333333333
"125777",0.0436111111111111,0.0655555555555559,0.0471666666666667,0.937111111111111
"436930",0.996166666666667,0.999944444444444,0.905777777777777,0.994722222222222
"154078",0.980388888888889,0.895500000000001,0.248833333333334,0.0130000000000001
"773640",0.903277777777778,0.986,0.983611111111111,0.986111111111111
"869127",0.179666666666665,0.204333333333334,0.187000000000001,0.0569444444444441
"895683",0.000611111111111105,0.970833333333333,0.898333333333333,0.988388888888889
"310411",0.795666666666666,0.992444444444444,0.624222222222222,0.0387777777777778
"471854",1,0.994833333333333,0.983611111111111,0.999111111111111
"542773",1,0.999888888888889,0.984888888888888,0.999833333333333
"659555",0.998,0.998777777777778,0.658777777777777,0.948333333333333
"395292",1,0.994055555555555,0.743277777777778,0.997166666666667
"193772",0.754722222222222,0.150388888888889,0.7235,0.936888888888889
"934214",0.999777777777778,0.985111111111111,0.981611111111111,0.999833333333333
"500717",0.924833333333334,0.814722222222222,0.903166666666666,0.995722222222222
"785796",1,0.999777777777778,0.983777777777778,0.999166666666667
"587398",0.4225,0.535999999999999,0.714944444444444,0.968888888888889
"079745",0.459388888888889,0.948555555555556,0.904277777777777,0.976388888888889
"385808",0.997722222222222,0.0042222222222222,0.983611111111111,0.965111111111111
"622101",0.999777777777778,0.984277777777778,0.904055555555556,0.999777777777778
"125607",0.320333333333333,0.00505555555555545,0.984222222222222,0.811166666666667
"148351",0.648722222222222,0.00600000000000001,0.202111111111111,0.0318333333333331
"414840",0.0276666666666667,0.00211111111111111,0.983388888888889,0.936555555555555
"353233",0.032,0.819111111111111,0.279666666666667,0.0214444444444443
"957172",0.852888888888889,0.930944444444445,0.284166666666667,0.719166666666667
"531605",0.121888888888889,0.221611111111111,0.905722222222222,0.0593888888888891
"352024",0.337055555555555,0.873888888888888,0.905833333333333,0.0915555555555555
"842639",0.0328333333333334,0.00250000000000003,0.906666666666667,0.933333333333333
"030289",0.510222222222222,0.0472777777777778,0.649888888888888,0.970944444444444
"470472",0.994222222222222,0.999055555555556,0.983388888888889,0.999944444444444
"537222",0.198944444444445,0.00883333333333323,0.0109999999999999,0.060888888888889
"720132",0.972444444444444,0.000500000000000021,0.183388888888889,0.997833333333333
"828326",1,0.996444444444445,0.937388888888888,0.997222222222222
"207043",0.219333333333333,0.985111111111111,0.981166666666667,0.288555555555556
"194250",0.999055555555556,0.839944444444444,0.983666666666667,0.999277777777778
"039913",0.0558333333333338,0.0846111111111112,0.0785555555555554,0.922444444444444
"845120",0.0332777777777775,0.818055555555556,0.222722222222222,0.0505555555555553
"103291",0.97911111111111,0.997111111111111,0.984722222222222,0.998444444444444
"236458",0.0566111111111111,0.145055555555554,0.209777777777778,0.0865000000000001
"067754",0.227,0.00166666666666668,0.939833333333334,0.952111111111111
"448464",0.0275000000000001,0.801944444444444,0.0379999999999999,0.0244444444444443
"663185",0.531777777777778,0.00105555555555558,0.63,0.957666666666667
"895574",0.203166666666667,0.989833333333333,0.0625555555555558,0.0372777777777778
"614462",0.0312777777777779,0.00583333333333331,0.717555555555555,0.932166666666666
"169928",0.056333333333333,0.977,0.0590555555555555,0.885722222222223
"456331",0.999722222222222,0.984944444444444,0.984833333333333,0.999888888888889
"750403",0.583611111111111,0.991833333333333,0.711444444444444,0.0667777777777778
"185546",0.567611111111111,0.0743333333333336,0.188222222222222,0.958
"381115",0.463055555555555,0.00311111111111115,0.0389999999999998,0.956333333333333
"202595",1,0.977611111111111,0.939666666666666,0.983444444444445
"567371",0.991888888888889,0.892555555555556,0.983611111111111,0.999833333333333
"195908",0.999222222222222,0.940111111111111,0.359055555555555,0.9935
"515855",0.994888888888889,0.970722222222222,0.984666666666667,0.851111111111111
"612143",0.999888888888889,0.999833333333333,0.717277777777777,0.999722222222222
"115451",0.687555555555556,0.00222222222222228,0.902555555555556,0.9565
"657507",0.00327777777777772,0.00227777777777785,0.248277777777778,0.947055555555555
"678918",0.00127777777777779,0.970555555555555,0.939666666666666,0.990444444444445
"636853",0.993333333333333,0.983277777777778,0.904888888888889,0.9955
"637423",0.248722222222222,0.913555555555556,0.307888888888888,0.893833333333333
"424730",0.922444444444444,0.0229444444444443,0.306,0.970444444444444
"091809",0.987944444444444,0.358388888888889,0.9055,0.924888888888889
"039726",0.999888888888889,0.998111111111111,0.902055555555555,0.986055555555555
"657543",0.127555555555556,0.00883333333333328,0.913666666666666,0.0691666666666666
"745408",0.216722222222222,0.0176111111111107,0.0412222222222224,0.950555555555556
"568483",0.707444444444446,0.0533333333333329,0.0392777777777778,0.960833333333333
"612999",0.997444444444444,0.985222222222222,0.712888888888889,0.994833333333333
"478962",0.188777777777778,0.00811111111111117,0.00227777777777783,0.062111111111111
"590979",0.304666666666666,0.176833333333333,0.907555555555556,0.0482222222222223
"667870",0.988611111111111,0.988944444444445,0.984277777777778,0.997055555555555
