"item","difficulty_mean","difficulty_SD","difficulty_Rhat","discrimination_mean","discrimination_SD","discrimination_Rhat"
"13",0.740169129046737,0.130077628870607,1.01,1.24767920642442,0.224780832300261,1
"14",1.97969545727213,0.171700306842332,1,0.819069478038887,0.277356182219219,1.01
"15a",1.35162891968089,0.158437601992518,1,2.5410781046923,0.269906648474037,1
"15b",0.900076723964333,0.169156747924996,1.02,3.47556528758033,0.393242812316993,1
"15c",0.452852575348988,0.145496142949614,1,2.72536696659553,0.320382883696178,1
"16",1.00994880284144,0.167253601608248,1,1.18984744658226,0.23353931587927,1
"17",1.85478220975231,0.175046768376128,1,2.25468424040329,0.266235839388809,1
"18",0.378250964151397,0.113880776683992,1,1.79564813483028,0.272791985085619,1.01
"21",1.86784473414595,0.207303422893286,1,1.75031871487075,0.258799460228034,1
"22",0.614607739774227,0.120990199007447,1.01,1.98055178015696,0.265296750361833,1.01
"1",1.38668034495502,0.188355518347489,1,1.71682798578115,0.247859683140394,1
"2",-0.410163144590315,0.17256234999613,1,1.61942158051976,0.280545324913694,1
"3",2.76255069034146,0.333212469416022,1.03,2.64805792310861,0.372091560031717,1.03
"4",1.41245751098003,0.171985367716548,1,0.656347315737228,0.238858832621656,1
"5",2.07412502674575,0.250779950754224,1,1.96078461385793,0.296905993275802,1
"6",4.03516756255326,0.478712318189403,1.01,1.99513223949274,0.536343270664734,1
"7",1.00862701314911,0.161180674929878,1,1.10270062776074,0.236327015879305,1.01
"8a",0.45721497814721,0.236740158219336,1,3.89684816550626,0.629953967966949,1.01
"8b",0.195084290658411,0.18047241282198,1,2.0115649269339,0.302863428646802,1
"8c",-0.189086724417605,0.181191720189173,1,0.939535309821345,0.254369175372338,1
"8d",0.912885313542673,0.208175008171894,1.03,1.77197745250458,0.261042656749467,1.03
"9",1.33058251105653,0.167534291510117,1.01,0.648810658373853,0.235751248879266,1.01
"10a",1.10952064463075,0.398620321764871,1.01,5.27187567182074,0.82153564050341,1
"10b",1.69408211194713,0.222735516371023,1.02,3.36871211341004,0.320464683754151,1.01
"10c",2.50060886951992,0.276036659980303,1,3.2357682428921,0.314965865159191,1
"11",1.20958182515433,0.169618520622157,1,1.13204582964024,0.235899640548583,1
"12",1.39774939368968,0.171332479180107,1,1.48457946147982,0.237368126955208,1
