"","Theta","referent_units","partitioning_iterating","appropriateness","multiplicative_comparison"
"949062",0.781837548070961,0.967388888888889,0.934555555555556,0.688388888888888,0.295277777777779
"489935",-0.712700350866428,0.589555555555557,0.18088888888889,0.0272222222222225,0.23861111111111
"546995",0.624116619202937,0.00972222222222221,0.953777777777778,0.838944444444445,0.719277777777778
"291341",-1.08856788915249,0.0643333333333332,0.0613333333333332,0.000388888888888865,0.00449999999999997
"773245",0.112148033598218,0.997055555555555,0.992777777777778,0.00211111111111116,0.0028333333333334
"569699",-1.04664705128099,0.120000000000001,0.0118333333333333,0.0559444444444443,0.00449999999999993
"207712",-0.636592377879171,0.976666666666667,0.00605555555555576,0.0678333333333336,0.673222222222222
"072657",-0.945418557571795,0.0364999999999998,0.091166666666667,0.0930555555555555,0.497166666666667
"611131",1.12077136198483,0.999722222222222,0.999277777777778,0.951611111111111,0.0149444444444444
"751398",-0.481311296675218,0.0271666666666667,0.684444444444445,0.00205555555555552,0.0106666666666667
"140783",0.865585019163673,0.968611111111111,0.988833333333334,0.747277777777777,0.174222222222222
"967697",-0.732675336389238,0.382666666666667,0.251555555555556,0.00300000000000001,0.437833333333334
"388799",0.436108329129662,0.980277777777778,0.975111111111111,0.304055555555559,0.940111111111111
"217798",0.166053630127873,0.716666666666666,0.994277777777778,0.126277777777779,0.00149999999999997
"006198",-0.16542978168375,0.00111111111111111,0.980055555555556,0.0028333333333334,0.706999999999999
"051827",1.1134363420644,0.976055555555555,0.991111111111111,0.952444444444444,0.302888888888889
"961714",0.659539321016396,0.291166666666666,0.919055555555554,0.8325,0.332
"379967",1.11162323185454,0.999388888888889,0.9935,0.947055555555555,0.416666666666667
"275720",1.14620969618863,0.999833333333333,0.999944444444444,0.955611111111111,0.998166666666667
"237544",-0.382742267660702,0.665611111111112,0.0352777777777777,0.41938888888889,0.00166666666666667
"670143",-0.510365490571683,0.974333333333333,0.00233333333333326,0.167333333333335,0.970944444444445
"048629",-0.441657889092202,0.986444444444444,0.0732777777777795,0.189666666666673,0.649888888888889
"823683",0.0526208246955688,0.811388888888889,0.898222222222226,0.0709444444444448,0.000388888888888848
"262762",-0.621065950646974,0.32638888888889,0.223333333333333,0.171888888888884,0.0037777777777778
"338247",0.781663793366336,0.711277777777777,0.969888888888889,0.72788888888889,0.92
"133060",-1.01815551916607,0.108166666666667,0.0800555555555553,0.0162222222222224,0.501222222222222
"406656",1.09040589915028,0.982888888888889,0.955555555555555,0.943,0.987833333333333
"402102",-1.01519891392254,0.256,0.00755555555555567,0.000388888888888888,0.404777777777777
"688844",0.906387629081084,0.779388888888889,0.978166666666667,0.834944444444444,0.817555555555556
"401359",-0.892820605655082,0.408500000000001,0.0550555555555561,0.0318888888888895,0.00288888888888887
"593688",0.415388744343053,0.452222222222222,0.875833333333334,0.574111111111114,0.00127777777777779
"017737",-1.01478613223051,0.103666666666667,0.0736666666666657,0.00255555555555557,0.449611111111112
"721326",0.453960165238181,0.538833333333333,0.954833333333333,0.459277777777781,0.942722222222222
"360948",1.04782076648192,0.999722222222222,0.9915,0.885944444444442,0.416055555555555
"171801",0.878078063483088,0.990888888888889,0.976666666666667,0.754222222222222,0
"037597",0.922430924425242,0.885222222222222,0.961166666666667,0.840611111111111,0.586111111111111
"298241",-0.516760135246403,0.957333333333333,0.00166666666666671,0.181944444444444,0.6805
"091743",-0.298575179117897,0.259666666666666,0.264444444444442,0.461055555555553,0.545777777777778
"825897",1.08552447301441,0.994,0.995333333333333,0.946333333333333,0.000222222222222223
"377260",0.912958148476739,0.923833333333333,0.921,0.843888888888889,0.0360555555555554
"131360",-0.55535533981342,0.408722222222221,0.0172222222222224,0.355222222222222,0.00350000000000006
"990978",-0.991617611883711,0.0995555555555559,0.122,0.00255555555555547,0.00594444444444444
"288447",0.582502241689167,1,0.996222222222222,0.420277777777777,0.972166666666667
"558826",-0.653738560778865,0.708444444444446,0.0421111111111109,0.143277777777777,0.624722222222222
