"item","difficulty_mean","difficulty_SD","difficulty_Rhat","discrimination_mean","discrimination_SD","discrimination_Rhat"
"1",0.5380722847196,0.111986301721728,1.01,0.91819317870631,0.141397074496922,1
"2",-1.2885752769166,0.117988546423011,1,0.454061234925974,0.133408852111556,1
"3",1.20479630652452,0.119228591997371,1,0.714782025406683,0.139706671949341,1
"4",1.08417976741203,0.105811355711744,1,0.29974387817899,0.116300128124337,1
"5",1.0324472635103,0.11716087894587,1.01,0.835459069745743,0.140556077018942,1
"6",2.97331895447505,0.239146965403792,1,0.807189697374997,0.233316305469133,1
"7",0.45883899936428,0.097275136548223,1,0.471983405318946,0.115871269211363,1
"8a",-1.40823330667621,0.151902035601337,1.01,1.33592338049002,0.191702966106966,1
"8b",-0.971511125678423,0.117969176828362,1,0.807277012465657,0.143148233482618,1
"8c",-0.738894798375603,0.0958471447651389,1,0.21952547023309,0.104608168465975,1
"8d",-0.18649317139053,0.100783731993784,1.02,0.671562052289756,0.123693242231975,1
"9",1.00362276898922,0.103340554090339,1.01,0.256216910635016,0.111752569961592,1
"10a",-1.63714556955247,0.223766299779537,1.01,2.36538913871409,0.335715356227342,1.01
"10b",0.319636464948139,0.158323835111282,1.02,2.29152195035415,0.303152082482021,1
"10c",1.05724374876931,0.158813364817816,1.03,1.8380497983534,0.236968579250743,1
"11",0.649644722423031,0.102875125570837,1.01,0.54091113438898,0.118087710049189,1.01
"12",0.658400604514382,0.108892426688037,1.01,0.741078669796144,0.131678081212469,1
"13",0.279716411345759,0.0979173721769161,1,0.591159639328396,0.116735117255779,1
"14",1.7098194543453,0.127945678616178,1,0.31372332720805,0.136014111690824,1
"15a",0.430026216076006,0.116624598247724,1.01,1.1474279425517,0.159505721763932,1
"15b",-0.410560194427585,0.108480054454167,1.02,0.876262354141846,0.142495978244417,1
"15c",-0.615986172261018,0.108947335398027,1.01,0.869953610407366,0.143967234530715,1
"16",0.422163350508278,0.0999052813968136,1.01,0.564845949534087,0.117202106882981,1
"17",1.16501281668989,0.131572820550359,1.03,1.08031093295853,0.159984647132821,1.02
"18",-0.129969567666943,0.100067652254868,1.01,0.730939431831866,0.126349960423222,1
"21",1.01156446281874,0.121581104978948,1.01,0.96239688430995,0.145630781575174,1
"22",0.0492376550037878,0.108465736195795,1.01,0.999417335538694,0.142266240115711,1
